timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1611845161,21.22,105.81,0,303,1,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611845313,21.22,105.81,0,271,0,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611845372,21.21,105.81,0,149,0,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611845428,21.22,105.81,0,205,0,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611845477,21.22,105.81,0,303,1,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611845498,21.22,105.81,0,303,0,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611845610,21.21,105.81,0,289,3,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611845676,21.22,105.81,0,205,3,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611845733,21.22,105.81,0,208,3,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611845791,21.22,105.81,0,286,1,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611845849,21.22,105.81,0,180,0,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611845900,21.22,105.81,0,180,0,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611845966,21.22,105.81,0,286,1,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611846028,21.22,105.8,0,286,9,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611846097,21.22,105.8,0,286,12,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611846152,21.22,105.8,0,286,10,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611846217,21.22,105.8,0,286,1,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611846269,21.22,105.8,0,180,0,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611846325,21.22,105.8,0,286,1,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611846384,21.22,105.8,0,286,1,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611846445,21.22,105.8,0,286,10,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611846504,21.22,105.79,0,289,9,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611846560,21.22,105.79,0,16,4,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611846624,21.22,105.79,0,106,13,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611846681,21.22,105.8,0,106,23,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611846744,21.22,105.81,0,106,28,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611846804,21.22,105.81,0,106,19,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611846863,21.21,105.81,0,286,15,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611846923,21.22,105.81,0,286,17,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611846985,21.22,105.8,0,286,16,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611847044,21.22,105.8,0,281,11,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611847101,21.22,105.8,0,196,5,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611847153,21.22,105.8,0,257,0,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611847213,21.22,105.8,0,284,0,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611847283,21.22,105.8,0,103,0,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611847349,21.22,105.8,0,103,0,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611847404,21.22,105.8,0,76,0,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611847469,21.22,105.8,0,103,0,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611847523,21.22,105.8,0,103,0,8880AF,HAN,SGN,VJC155,0,A320,VJ155
1611847592,21.22,105.8,0,196,1,8880AF,HAN,SGN,VJC155,0,A320,VJ155
