timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1612707654,16.4,107.76,2750,92,205,88816B,HUI,SGN,HVN1379,3264,A21N,VN1379
1612707737,16.36,107.83,5725,135,231,88816B,HUI,SGN,HVN1379,3520,A21N,VN1379
1612707800,16.28,107.86,11075,168,298,88816B,HUI,SGN,HVN1379,1728,A21N,VN1379
1612707855,16.19,107.88,13075,168,356,88816B,HUI,SGN,HVN1379,3328,A21N,VN1379
1612707916,16.09,107.9,16300,167,370,88816B,HUI,SGN,HVN1379,3136,A21N,VN1379
1612707980,15.98,107.93,19450,164,380,88816B,HUI,SGN,HVN1379,2816,A21N,VN1379
1612708026,15.9,107.95,20350,165,416,88816B,HUI,SGN,HVN1379,1216,A21N,VN1379
1612708103,15.75,108.0,22325,165,446,88816B,HUI,SGN,HVN1379,1536,A21N,VN1379
1612708155,15.64,108.02,23550,165,461,88816B,HUI,SGN,HVN1379,1536,A21N,VN1379
1612708216,15.52,108.06,25175,165,466,88816B,HUI,SGN,HVN1379,960,A21N,VN1379
1612708280,15.38,108.1,26275,165,471,88816B,HUI,SGN,HVN1379,960,A21N,VN1379
1612708344,15.25,108.13,27325,165,477,88816B,HUI,SGN,HVN1379,896,A21N,VN1379
1612708396,15.14,108.16,28150,167,469,88816B,HUI,SGN,HVN1379,1024,A21N,VN1379
1612708462,14.99,108.18,29500,181,465,88816B,HUI,SGN,HVN1379,1216,A21N,VN1379
1612708520,14.87,108.17,31375,180,461,88816B,HUI,SGN,HVN1379,2368,A21N,VN1379
1612708584,14.73,108.17,33850,181,445,88816B,HUI,SGN,HVN1379,1152,A21N,VN1379
1612708648,14.6,108.17,34000,181,449,88816B,HUI,SGN,HVN1379Z,0,A21N,VN1379
1612708708,14.48,108.16,34000,181,451,88816B,HUI,SGN,HVN1379Z,0,A21N,VN1379
1612708776,14.34,108.16,34000,181,449,88816B,HUI,SGN,HVN1379Z,0,A21N,VN1379
1612708831,14.22,108.16,34000,181,449,88816B,HUI,SGN,HVN1379Z,0,A21N,VN1379
1612708875,14.13,108.16,34000,181,449,88816B,HUI,SGN,HVN1379Z,0,A21N,VN1379
1612708951,13.97,108.15,34000,181,450,88816B,HUI,SGN,HVN1379Z,0,A21N,VN1379
1612709012,13.84,108.15,34000,181,451,88816B,HUI,SGN,HVN1379Z,0,A21N,VN1379
1612709071,13.72,108.15,34000,181,452,88816B,HUI,SGN,HVN1379Z,-64,A21N,VN1379
1612709126,13.6,108.15,34000,181,447,88816B,HUI,SGN,HVN1379Z,0,A21N,VN1379
1612709183,13.49,108.14,34000,181,449,88816B,HUI,SGN,HVN1379Z,0,A21N,VN1379
1612709243,13.36,108.14,34025,181,453,88816B,HUI,SGN,HVN1379Z,0,A21N,VN1379
1612709293,13.26,108.14,34025,181,455,88816B,HUI,SGN,HVN1379Z,0,A21N,VN1379
1612709360,13.11,108.13,34000,181,456,88816B,HUI,SGN,HVN1379Z,0,A21N,VN1379
1612709425,12.98,108.13,34000,181,456,88816B,HUI,SGN,HVN1379Z,0,A21N,VN1379
1612709485,12.85,108.13,34000,181,454,88816B,HUI,SGN,HVN1379Z,0,A21N,VN1379
1612709546,12.72,108.12,34000,181,448,88816B,HUI,SGN,HVN1379Z,-192,A21N,VN1379
1612709608,12.59,108.12,33550,181,439,88816B,HUI,SGN,HVN1379Z,-384,A21N,VN1379
1612709676,12.46,108.12,33025,181,443,88816B,HUI,SGN,HVN1379Z,-384,A21N,VN1379
1612709728,12.35,108.12,32525,181,447,88816B,HUI,SGN,HVN1379Z,-960,A21N,VN1379
1612709793,12.23,108.1,31875,201,446,88816B,HUI,SGN,HVN1379Z,0,A21N,VN1379
1612709856,12.09,108.11,30425,181,432,88816B,HUI,SGN,HVN1379Z,-960,A21N,VN1379
1612709914,11.97,108.11,29450,180,424,88816B,HUI,SGN,HVN1379Z,-960,A21N,VN1379
1612709974,11.87,108.16,28450,133,422,88816B,HUI,SGN,HVN1379Z,-832,A21N,VN1379
1612710039,11.78,108.25,27425,134,413,88816B,HUI,SGN,HVN1379Z,-896,A21N,VN1379
1612710103,11.69,108.33,26475,146,406,88816B,HUI,SGN,HVN1379Z,-448,A21N,VN1379
1612710165,11.59,108.39,26000,146,396,88816B,HUI,SGN,HVN1379Z,-384,A21N,VN1379
1612710219,11.5,108.44,25525,158,393,88816B,HUI,SGN,HVN1379Z,-832,A21N,VN1379
1612710286,11.39,108.43,24425,212,391,88816B,HUI,SGN,HVN1379Z,-960,A21N,VN1379
1612710342,11.33,108.34,23375,252,399,88816B,HUI,SGN,HVN1379Z,-1344,A21N,VN1379
1612710400,11.3,108.24,21925,250,392,88816B,HUI,SGN,HVN1379Z,-1408,A21N,VN1379
1612710464,11.26,108.13,20500,251,377,88816B,HUI,SGN,HVN1379Z,-1408,A21N,VN1379
1612710516,11.23,108.04,19300,251,369,88816B,HUI,SGN,HVN1379Z,-1344,A21N,VN1379
1612710559,11.21,107.98,18350,251,359,88816B,HUI,SGN,HVN1379Z,-1408,A21N,VN1379
1612710644,11.17,107.84,16375,251,348,88816B,HUI,SGN,HVN1379Z,-1344,A21N,VN1379
1612710708,11.13,107.74,14900,251,344,88816B,HUI,SGN,HVN1379Z,-1408,A21N,VN1379
1612710765,11.1,107.65,13700,252,341,88816B,HUI,SGN,HVN1379Z,-1024,A21N,VN1379
1612710830,11.07,107.56,12600,251,338,88816B,HUI,SGN,HVN1379Z,-896,A21N,VN1379
1612710884,11.05,107.47,11750,251,330,88816B,HUI,SGN,HVN1379Z,-1088,A21N,VN1379
