timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1617377503,28.45,129.59,39975,232,495,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617377568,28.35,129.46,39975,229,496,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617377624,28.27,129.35,39975,229,498,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617377686,28.17,129.23,39975,229,493,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617377741,28.09,129.12,39975,229,491,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617377803,28.0,129.0,40000,228,491,86E7BC,NRT,SGN,ANA833,-64,B789,NH833
1617377860,27.91,128.89,40000,229,491,86E7BC,NRT,SGN,ANA833,-64,B789,NH833
1617377928,27.81,128.76,39975,228,491,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617377992,27.71,128.64,40000,228,489,86E7BC,NRT,SGN,ANA833,-64,B789,NH833
1617378050,27.63,128.52,40000,228,490,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617378115,27.53,128.4,39975,228,491,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617378179,27.44,128.28,40000,228,492,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617378240,27.34,128.16,39975,228,493,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617378295,27.26,128.06,39975,228,493,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617378351,27.18,127.95,40000,228,493,86E7BC,NRT,SGN,ANA833,-64,B789,NH833
1617378412,27.08,127.83,40000,228,492,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617378478,26.98,127.7,40000,228,493,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617378535,26.9,127.6,40000,228,492,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617378596,26.8,127.48,39975,228,491,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617378657,26.71,127.36,39975,228,492,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617378716,26.62,127.25,39975,228,495,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617378775,26.53,127.14,39975,228,495,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617378840,26.43,127.02,40000,228,496,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617378899,26.34,126.9,39975,228,495,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617378959,26.25,126.79,40000,228,497,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617379020,26.15,126.67,39975,228,494,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617379076,26.07,126.57,40000,227,490,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617379133,25.98,126.46,39975,227,489,86E7BC,NRT,SGN,ANA833,64,B789,NH833
1617379192,25.89,126.35,40000,227,488,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617379260,25.79,126.23,39975,227,489,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617379319,25.7,126.12,39975,227,487,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617379378,25.61,126.01,39975,227,487,86E7BC,NRT,SGN,ANA833,-64,B789,NH833
1617379437,25.52,125.9,40000,227,487,86E7BC,NRT,SGN,ANA833,-64,B789,NH833
1617379503,25.42,125.78,39975,227,485,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617379559,25.33,125.68,39975,227,485,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617379621,25.24,125.56,40000,228,485,86E7BC,NRT,SGN,ANA833,-64,B789,NH833
1617379685,25.14,125.45,40000,228,482,86E7BC,NRT,SGN,ANA833,-64,B789,NH833
1617379750,25.05,125.33,40000,228,482,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617379808,24.96,125.22,40000,228,485,86E7BC,NRT,SGN,ANA833,-64,B789,NH833
1617379876,24.86,125.1,39975,228,483,86E7BC,NRT,SGN,ANA833,64,B789,NH833
1617379936,24.77,124.99,40000,228,484,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617380004,24.67,124.86,40000,228,483,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617380064,24.58,124.75,40000,228,482,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617380128,24.48,124.64,40000,227,482,86E7BC,NRT,SGN,ANA833,-64,B789,NH833
1617380191,24.39,124.52,39975,227,483,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617380250,24.3,124.42,39975,227,484,86E7BC,NRT,SGN,ANA833,-64,B789,NH833
1617380307,24.21,124.31,40000,227,482,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617380372,24.11,124.2,40000,227,481,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617380428,24.03,124.1,39975,227,482,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617380482,23.95,124.0,40000,230,480,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617380537,23.87,123.89,39975,233,480,86E7BC,NRT,SGN,ANA833,-64,B789,NH833
1617380599,23.79,123.77,40000,233,477,86E7BC,NRT,SGN,ANA833,-64,B789,NH833
1617380654,23.72,123.67,40000,233,478,86E7BC,NRT,SGN,ANA833,-64,B789,NH833
1617380721,23.63,123.54,40000,233,477,86E7BC,NRT,SGN,ANA833,0,B789,NH833
1617380779,23.55,123.42,39975,232,477,86E7BC,NRT,SGN,ANA833,-64,B789,NH833
