timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1619112233,11.55,104.85,0,40,15,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619112299,11.56,104.85,0,261,6,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619112483,11.46,104.82,4500,186,269,6.9999999999999985e+50,PNH,SGN,KHV816,3712,A320,K6816
1619112542,11.38,104.81,8275,187,299,6.9999999999999985e+50,PNH,SGN,KHV816,3200,A320,K6816
1619112607,11.32,104.87,11350,107,338,6.9999999999999985e+50,PNH,SGN,KHV816,1408,A320,K6816
1619112663,11.28,104.97,13050,108,398,6.9999999999999985e+50,PNH,SGN,KHV816,3328,A320,K6816
1619112729,11.25,105.09,16950,105,391,6.9999999999999985e+50,PNH,SGN,KHV816,3776,A320,K6816
1619112788,11.22,105.19,19025,101,377,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619112837,11.21,105.27,19000,101,382,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619112912,11.18,105.41,19000,101,377,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619112985,11.15,105.53,19000,101,375,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619113044,11.13,105.63,19000,101,371,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619113106,11.11,105.74,19000,101,368,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619113170,11.09,105.85,19000,101,372,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619113229,11.07,105.95,19000,101,371,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619113286,11.05,106.05,19000,101,374,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619113338,11.03,106.14,19000,101,374,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619113400,10.97,106.23,19000,131,380,6.9999999999999985e+50,PNH,SGN,KHV816,-64,A320,K6816
1619113462,10.9,106.31,18350,130,385,6.9999999999999985e+50,PNH,SGN,KHV816,-448,A320,K6816
1619113526,10.82,106.39,16150,146,387,6.9999999999999985e+50,PNH,SGN,KHV816,-2880,A320,K6816
1619113583,10.73,106.45,14250,143,381,6.9999999999999985e+50,PNH,SGN,KHV816,-1984,A320,K6816
1619113645,10.65,106.52,12275,121,346,6.9999999999999985e+50,PNH,SGN,KHV816,-1728,A320,K6816
1619113701,10.66,106.61,10450,70,330,6.9999999999999985e+50,PNH,SGN,KHV816,-896,A320,K6816
1619113761,10.69,106.69,9275,71,297,6.9999999999999985e+50,PNH,SGN,KHV816,-1856,A320,K6816
1619113817,10.71,106.76,7700,70,293,6.9999999999999985e+50,PNH,SGN,KHV816,-1664,A320,K6816
1619113882,10.74,106.85,5975,67,286,6.9999999999999985e+50,PNH,SGN,KHV816,-896,A320,K6816
1619113944,10.81,106.87,4750,333,245,6.9999999999999985e+50,PNH,SGN,KHV816,-896,A320,K6816
1619114005,10.86,106.84,4075,326,211,6.9999999999999985e+50,PNH,SGN,KHV816,-512,A320,K6816
1619114061,10.87,106.79,3050,252,171,6.9999999999999985e+50,PNH,SGN,KHV816,-832,A320,K6816
1619114120,10.86,106.76,2225,249,137,6.9999999999999985e+50,PNH,SGN,KHV816,-960,A320,K6816
1619114184,10.85,106.72,1375,248,132,6.9999999999999985e+50,PNH,SGN,KHV816,-1024,A320,K6816
1619114239,10.83,106.69,700,248,132,6.9999999999999985e+50,PNH,SGN,KHV816,-576,A320,K6816
1619114310,10.82,106.65,0,250,58,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619114343,10.82,106.64,0,250,41,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619114401,10.81,106.64,0,188,18,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619114481,10.81,106.64,0,73,13,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619114533,10.81,106.64,0,67,21,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619114551,10.81,106.64,0,70,21,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619114651,10.82,106.65,0,70,23,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619114735,10.82,106.66,0,70,12,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
1619114805,10.82,106.66,0,160,1,6.9999999999999985e+50,PNH,SGN,KHV816,0,A320,K6816
