timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1619479076,1.36,103.98,0,202,21,76AA75,SIN,SGN,JSA555,0,A320,3K555
1619479173,1.35,103.98,0,202,20,76AA75,SIN,SGN,JSA555,0,A320,3K555
1619479271,1.36,103.98,0,22,120,76AA75,SIN,SGN,JSA555,0,A320,3K555
1619479342,1.4,104.0,1525,22,170,76AA75,SIN,SGN,JSA555,1920,A320,3K555
1619479398,1.46,104.03,4775,22,250,76AA75,SIN,SGN,JSA555,2176,A320,3K555
1619479468,1.56,104.01,7800,332,326,76AA75,SIN,SGN,JSA555,3968,A320,3K555
1619479526,1.63,103.97,11025,333,339,76AA75,SIN,SGN,JSA555,2624,A320,3K555
1619479592,1.73,103.93,14250,333,355,76AA75,SIN,SGN,JSA555,2624,A320,3K555
1619479648,1.82,103.91,16425,356,369,76AA75,SIN,SGN,JSA555,2688,A320,3K555
1619479713,1.93,103.9,18925,356,383,76AA75,SIN,SGN,JSA555,2624,A320,3K555
1619479767,2.03,103.89,20700,356,397,76AA75,SIN,SGN,JSA555,1920,A320,3K555
1619479833,2.15,103.88,22725,354,407,76AA75,SIN,SGN,JSA555,1536,A320,3K555
1619479894,2.27,103.87,24150,355,426,76AA75,SIN,SGN,JSA555,832,A320,3K555
1619479957,2.4,103.87,25775,359,438,76AA75,SIN,SGN,JSA555,1792,A320,3K555
1619480024,2.54,103.87,27300,39,450,76AA75,SIN,SGN,JSA555,1728,A320,3K555
1619480082,2.66,103.87,28700,359,456,76AA75,SIN,SGN,JSA555,1216,A320,3K555
1619480148,2.8,103.87,29775,1,474,76AA75,SIN,SGN,JSA555,1472,A320,3K555
1619480209,2.94,103.89,31050,9,478,76AA75,SIN,SGN,JSA555,1408,A320,3K555
1619480265,3.06,103.91,32375,9,477,76AA75,SIN,SGN,JSA555,1856,A320,3K555
1619480321,3.18,103.93,33950,9,468,76AA75,SIN,SGN,JSA555,1088,A320,3K555
1619480379,3.31,103.95,35500,10,459,76AA75,SIN,SGN,JSA555,1280,A320,3K555
1619480441,3.43,103.97,36925,10,454,76AA75,SIN,SGN,JSA555,1216,A320,3K555
1619480493,3.54,104.0,37925,10,451,76AA75,SIN,SGN,JSA555,704,A320,3K555
1619480546,3.65,104.02,38000,10,446,76AA75,SIN,SGN,JSA555,-64,A320,3K555
1619480613,3.79,104.04,38000,7,448,76AA75,SIN,SGN,JSA555,0,A320,3K555
1619480677,3.92,104.02,38000,344,452,76AA75,SIN,SGN,JSA555,0,A320,3K555
1619480736,4.04,103.99,38000,345,452,76AA75,SIN,SGN,JSA555,0,A320,3K555
1619480800,4.17,103.95,37975,345,452,76AA75,SIN,SGN,JSA555,-64,A320,3K555
1619480858,4.29,103.92,37975,345,452,76AA75,SIN,SGN,JSA555,0,A320,3K555
1619480922,4.42,103.89,38000,345,456,76AA75,SIN,SGN,JSA555,0,A320,3K555
1619480980,4.54,103.86,38025,345,457,76AA75,SIN,SGN,JSA555,0,A320,3K555
