timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1619460104,28.46,129.85,40000,230,420,86E84C,HND,SGN,JAL79,0,B789,JL79
1619460167,28.39,129.74,39975,230,422,86E84C,HND,SGN,JAL79,0,B789,JL79
1619460233,28.3,129.63,40000,230,421,86E84C,HND,SGN,JAL79,-64,B789,JL79
1619460295,28.23,129.52,40000,230,418,86E84C,HND,SGN,JAL79,0,B789,JL79
1619460352,28.16,129.42,39975,230,415,86E84C,HND,SGN,JAL79,0,B789,JL79
1619460417,28.08,129.32,40000,230,416,86E84C,HND,SGN,JAL79,-64,B789,JL79
1619460481,28.0,129.21,39975,230,411,86E84C,HND,SGN,JAL79,64,B789,JL79
1619460545,27.92,129.1,40000,230,411,86E84C,HND,SGN,JAL79,0,B789,JL79
1619460599,27.86,129.01,40000,230,411,86E84C,HND,SGN,JAL79,0,B789,JL79
1619460657,27.79,128.92,40000,230,411,86E84C,HND,SGN,JAL79,-64,B789,JL79
1619460716,27.71,128.82,40000,230,411,86E84C,HND,SGN,JAL79,0,B789,JL79
1619460777,27.64,128.72,40000,230,413,86E84C,HND,SGN,JAL79,0,B789,JL79
1619460840,27.56,128.61,39975,230,413,86E84C,HND,SGN,JAL79,64,B789,JL79
1619460904,27.48,128.51,39975,230,413,86E84C,HND,SGN,JAL79,64,B789,JL79
1619460960,27.41,128.42,39975,230,415,86E84C,HND,SGN,JAL79,-64,B789,JL79
1619461024,27.34,128.31,39975,229,417,86E84C,HND,SGN,JAL79,64,B789,JL79
1619461086,27.26,128.21,39975,229,417,86E84C,HND,SGN,JAL79,0,B789,JL79
1619461151,27.18,128.1,40000,230,423,86E84C,HND,SGN,JAL79,-64,B789,JL79
1619461213,27.1,128.0,40000,229,423,86E84C,HND,SGN,JAL79,0,B789,JL79
1619461273,27.02,127.9,40000,229,422,86E84C,HND,SGN,JAL79,0,B789,JL79
1619461325,26.96,127.81,40000,229,422,86E84C,HND,SGN,JAL79,0,B789,JL79
1619461391,26.87,127.7,40000,229,420,86E84C,HND,SGN,JAL79,64,B789,JL79
1619461453,26.8,127.59,40000,229,420,86E84C,HND,SGN,JAL79,-64,B789,JL79
1619461512,26.72,127.5,40000,229,421,86E84C,HND,SGN,JAL79,-64,B789,JL79
1619461569,26.65,127.4,39975,229,421,86E84C,HND,SGN,JAL79,0,B789,JL79
1619461629,26.57,127.3,39975,229,421,86E84C,HND,SGN,JAL79,-64,B789,JL79
1619461693,26.49,127.2,39975,229,420,86E84C,HND,SGN,JAL79,-64,B789,JL79
1619461752,26.42,127.1,39975,229,419,86E84C,HND,SGN,JAL79,-64,B789,JL79
1619461807,26.35,127.01,39975,229,419,86E84C,HND,SGN,JAL79,64,B789,JL79
1619461869,26.27,126.91,40000,229,421,86E84C,HND,SGN,JAL79,0,B789,JL79
1619461928,26.19,126.81,40000,229,421,86E84C,HND,SGN,JAL79,-64,B789,JL79
1619461985,26.12,126.72,39975,229,419,86E84C,HND,SGN,JAL79,0,B789,JL79
1619462039,26.05,126.63,40000,229,424,86E84C,HND,SGN,JAL79,-64,B789,JL79
1619462105,25.97,126.52,40000,229,425,86E84C,HND,SGN,JAL79,-64,B789,JL79
1619462168,25.89,126.42,40000,229,426,86E84C,HND,SGN,JAL79,0,B789,JL79
1619462222,25.82,126.33,39975,229,428,86E84C,HND,SGN,JAL79,0,B789,JL79
1619462279,25.74,126.23,40000,229,430,86E84C,HND,SGN,JAL79,-64,B789,JL79
1619462342,25.66,126.13,39975,229,432,86E84C,HND,SGN,JAL79,64,B789,JL79
1619462404,25.58,126.02,40000,228,437,86E84C,HND,SGN,JAL79,-64,B789,JL79
1619462466,25.5,125.92,39975,228,436,86E84C,HND,SGN,JAL79,-64,B789,JL79
1619462534,25.41,125.82,39975,228,435,86E84C,HND,SGN,JAL79,0,B789,JL79
