timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1619480978,10.16,104.0,0,185,0,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619481002,10.16,104.0,0,185,0,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619481167,10.16,104.0,0,65,0,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619481227,10.16,104.0,0,71,0,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619481288,10.16,104.0,0,180,0,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619482250,10.16,104.0,0,174,3,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619482300,10.17,104.0,0,271,0,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619482367,10.17,104.0,0,271,0,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619482431,10.17,104.0,0,328,0,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619482485,10.17,104.0,0,95,7,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619482546,10.17,104.0,0,5,14,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619482611,10.17,104.0,0,95,20,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619482675,10.17,104.01,0,309,13,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619482731,10.17,103.98,625,275,159,888182,PQC,SGN,BAV1524,3008,A320,QH1524
1619482791,10.18,103.93,2550,276,221,888182,PQC,SGN,BAV1524,2048,A320,QH1524
1619482844,10.16,103.88,5350,212,250,888182,PQC,SGN,BAV1524,3456,A320,QH1524
1619482902,10.09,103.87,8775,171,264,888182,PQC,SGN,BAV1524,3264,A320,QH1524
1619482943,10.06,103.91,10475,100,289,888182,PQC,SGN,BAV1524,1600,A320,QH1524
1619483023,10.04,104.03,12450,98,375,888182,PQC,SGN,BAV1524,1984,A320,QH1524
1619483079,10.03,104.13,14550,98,393,888182,PQC,SGN,BAV1524,2496,A320,QH1524
1619483137,10.01,104.24,16850,98,400,888182,PQC,SGN,BAV1524,1856,A320,QH1524
1619483204,9.99,104.37,19250,98,409,888182,PQC,SGN,BAV1524,1920,A320,QH1524
1619483262,9.98,104.48,20775,98,428,888182,PQC,SGN,BAV1524,1792,A320,QH1524
1619483328,9.96,104.61,22625,98,437,888182,PQC,SGN,BAV1524,1536,A320,QH1524
1619483392,9.94,104.74,24200,98,444,888182,PQC,SGN,BAV1524,960,A320,QH1524
1619483456,9.92,104.87,25025,98,442,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619483506,9.92,104.98,25000,76,452,888182,PQC,SGN,BAV1524,64,A320,QH1524
1619483571,9.95,105.11,25000,74,453,888182,PQC,SGN,BAV1524,64,A320,QH1524
1619483636,9.99,105.24,24975,74,452,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619483696,10.03,105.37,25000,74,454,888182,PQC,SGN,BAV1524,64,A320,QH1524
1619483749,10.06,105.48,25025,74,453,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619483813,10.09,105.61,25025,74,450,888182,PQC,SGN,BAV1524,-64,A320,QH1524
1619483872,10.13,105.73,24900,69,453,888182,PQC,SGN,BAV1524,-448,A320,QH1524
1619483932,10.17,105.84,24425,67,461,888182,PQC,SGN,BAV1524,-512,A320,QH1524
1619483983,10.22,105.95,24000,68,458,888182,PQC,SGN,BAV1524,-448,A320,QH1524
1619484047,10.27,106.07,23525,68,451,888182,PQC,SGN,BAV1524,-448,A320,QH1524
1619484111,10.32,106.2,22625,68,445,888182,PQC,SGN,BAV1524,-2176,A320,QH1524
1619484174,10.36,106.32,20050,68,423,888182,PQC,SGN,BAV1524,-2368,A320,QH1524
1619484232,10.41,106.42,17525,67,406,888182,PQC,SGN,BAV1524,-3520,A320,QH1524
1619484296,10.45,106.53,15600,82,370,888182,PQC,SGN,BAV1524,-960,A320,QH1524
1619484357,10.46,106.63,14825,84,324,888182,PQC,SGN,BAV1524,-768,A320,QH1524
1619484419,10.47,106.72,12825,84,315,888182,PQC,SGN,BAV1524,-1920,A320,QH1524
1619484476,10.47,106.8,11425,84,305,888182,PQC,SGN,BAV1524,-1664,A320,QH1524
1619484530,10.49,106.88,9950,75,303,888182,PQC,SGN,BAV1524,-1472,A320,QH1524
1619484595,10.54,106.94,8500,4,279,888182,PQC,SGN,BAV1524,-1024,A320,QH1524
1619484651,10.6,106.94,7500,353,243,888182,PQC,SGN,BAV1524,-1856,A320,QH1524
1619484715,10.68,106.93,5875,353,244,888182,PQC,SGN,BAV1524,-1024,A320,QH1524
1619484779,10.75,106.92,5075,353,226,888182,PQC,SGN,BAV1524,-512,A320,QH1524
1619484831,10.8,106.91,4525,353,211,888182,PQC,SGN,BAV1524,-1024,A320,QH1524
1619484895,10.86,106.9,3475,338,211,888182,PQC,SGN,BAV1524,-1152,A320,QH1524
1619484956,10.88,106.85,2800,280,197,888182,PQC,SGN,BAV1524,-512,A320,QH1524
1619485008,10.88,106.81,2375,250,187,888182,PQC,SGN,BAV1524,-512,A320,QH1524
1619485065,10.86,106.76,1975,248,166,888182,PQC,SGN,BAV1524,-960,A320,QH1524
1619485126,10.85,106.72,1200,249,137,888182,PQC,SGN,BAV1524,-512,A320,QH1524
1619485192,10.83,106.68,450,249,138,888182,PQC,SGN,BAV1524,-768,A320,QH1524
1619485244,10.82,106.65,0,250,86,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619485308,10.81,106.64,0,191,13,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619485326,10.81,106.64,0,188,19,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619485427,10.81,106.64,0,64,11,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619485481,10.81,106.64,0,70,25,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619485532,10.81,106.65,0,70,18,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619485605,10.81,106.65,0,140,7,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619485663,10.81,106.65,0,67,13,888182,PQC,SGN,BAV1524,0,A320,QH1524
1619485731,10.81,106.66,0,157,2,888182,PQC,SGN,BAV1524,0,A320,QH1524
