timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1619473522,22.32,113.93,500,70,170,424483,HKG,SGN,ABG9934,2496,B77W,RL9934
1619473585,22.33,113.98,2750,77,173,424483,HKG,SGN,ABG9934,1856,B77W,RL9934
1619473644,22.34,114.04,3825,77,238,424483,HKG,SGN,ABG9934,832,B77W,RL9934
1619473701,22.31,114.09,5575,176,268,424483,HKG,SGN,ABG9934,2432,B77W,RL9934
1619473761,22.23,114.08,7725,197,286,424483,HKG,SGN,ABG9934,1472,B77W,RL9934
1619473829,22.14,114.05,10225,197,302,424483,HKG,SGN,ABG9934,2240,B77W,RL9934
1619473887,22.06,114.03,12875,188,315,424483,HKG,SGN,ABG9934,1792,B77W,RL9934
1619473941,21.98,114.03,14600,172,362,424483,HKG,SGN,ABG9934,3904,B77W,RL9934
1619473999,21.87,114.05,16875,172,386,424483,HKG,SGN,ABG9934,2624,B77W,RL9934
1619474049,21.79,114.07,18950,150,393,424483,HKG,SGN,ABG9934,1664,B77W,RL9934
1619474114,21.7,114.17,20025,125,436,424483,HKG,SGN,ABG9934,-64,B77W,RL9934
1619474178,21.64,114.28,20000,124,431,424483,HKG,SGN,ABG9934,64,B77W,RL9934
1619474237,21.56,114.39,20000,126,432,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619474291,21.49,114.47,20000,134,430,424483,HKG,SGN,ABG9934,-64,B77W,RL9934
1619474350,21.42,114.55,20000,134,430,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619474416,21.31,114.65,20000,147,432,424483,HKG,SGN,ABG9934,64,B77W,RL9934
1619474470,21.21,114.69,20250,167,437,424483,HKG,SGN,ABG9934,1280,B77W,RL9934
1619474526,21.09,114.66,22850,192,445,424483,HKG,SGN,ABG9934,2048,B77W,RL9934
1619474587,20.99,114.58,24575,226,449,424483,HKG,SGN,ABG9934,1408,B77W,RL9934
1619474640,20.91,114.5,26250,226,457,424483,HKG,SGN,ABG9934,1856,B77W,RL9934
1619474708,20.81,114.38,27000,226,472,424483,HKG,SGN,ABG9934,-64,B77W,RL9934
1619474782,20.7,114.27,27000,226,473,424483,HKG,SGN,ABG9934,192,B77W,RL9934
1619474842,20.63,114.18,27000,226,473,424483,HKG,SGN,ABG9934,192,B77W,RL9934
1619474902,20.52,114.06,29900,226,478,424483,HKG,SGN,ABG9934,1472,B77W,RL9934
1619474963,20.42,113.95,32125,226,480,424483,HKG,SGN,ABG9934,1600,B77W,RL9934
1619475026,20.32,113.84,33675,226,470,424483,HKG,SGN,ABG9934,1088,B77W,RL9934
1619475086,20.24,113.75,34000,226,471,424483,HKG,SGN,ABG9934,-64,B77W,RL9934
1619475150,20.14,113.64,34000,226,475,424483,HKG,SGN,ABG9934,64,B77W,RL9934
1619475210,20.06,113.56,34000,226,475,424483,HKG,SGN,ABG9934,64,B77W,RL9934
1619475265,19.96,113.44,34000,226,469,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619475312,19.89,113.37,34000,226,468,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619475378,19.8,113.27,34000,226,467,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619475438,19.73,113.18,34000,226,467,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619475510,19.63,113.08,34000,226,467,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619475566,19.52,112.96,34000,225,464,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619475626,19.44,112.88,34000,225,464,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619475686,19.36,112.8,34000,225,464,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619475746,19.29,112.72,34000,225,464,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619475794,19.23,112.65,34000,225,464,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619475858,19.04,112.53,34000,215,468,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619475918,18.95,112.46,34000,215,468,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619475978,18.86,112.39,34000,215,468,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619476038,18.76,112.33,34000,215,468,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619476098,18.67,112.26,34000,215,468,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619476158,18.57,112.18,34000,215,468,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619476218,18.46,112.11,34000,215,468,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619476278,18.36,112.03,34000,215,468,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619476338,18.43,111.69,34000,235,472,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619476398,18.37,111.59,34000,235,472,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619476446,18.32,111.52,34000,235,472,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619476506,18.25,111.42,34000,235,472,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619476578,18.17,111.31,34000,235,472,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619476638,18.1,111.2,34000,235,472,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619476698,18.03,111.08,34000,235,472,424483,HKG,SGN,ABG9934,0,B77W,RL9934
1619476770,17.94,110.95,34000,235,472,424483,HKG,SGN,ABG9934,0,B77W,RL9934
