timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1619477737,21.22,105.79,0,219,3,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619477797,21.22,105.79,0,180,0,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619477848,21.22,105.79,0,180,0,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619477908,21.22,105.79,0,180,0,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619477968,21.22,105.79,0,180,0,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619478029,21.22,105.79,0,308,0,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619478087,21.22,105.79,0,16,3,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619478144,21.22,105.79,0,296,0,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619478213,21.22,105.79,0,16,7,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619478277,21.22,105.79,0,106,12,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619478328,21.22,105.82,900,109,154,8881B9,HAN,SGN,VAG751,3520,A321,VU751
1619478388,21.2,105.87,2750,107,213,8881B9,HAN,SGN,VAG751,1984,A321,VU751
1619478454,21.15,105.93,4300,137,262,8881B9,HAN,SGN,VAG751,3200,A321,VU751
1619478509,21.1,105.98,8500,135,287,8881B9,HAN,SGN,VAG751,2688,A321,VU751
1619478559,21.05,106.04,10600,136,315,8881B9,HAN,SGN,VAG751,1216,A321,VU751
1619478624,20.97,106.11,12150,146,380,8881B9,HAN,SGN,VAG751,1984,A321,VU751
1619478678,20.88,106.16,14900,152,378,8881B9,HAN,SGN,VAG751,2560,A321,VU751
1619478731,20.8,106.2,17100,152,389,8881B9,HAN,SGN,VAG751,1728,A321,VU751
1619478793,20.7,106.26,19475,153,399,8881B9,HAN,SGN,VAG751,1856,A321,VU751
1619478855,20.59,106.31,21125,153,423,8881B9,HAN,SGN,VAG751,1344,A321,VU751
1619478912,20.49,106.37,23450,150,419,8881B9,HAN,SGN,VAG751,3072,A321,VU751
1619478976,20.38,106.44,25475,150,428,8881B9,HAN,SGN,VAG751,2176,A321,VU751
1619479037,20.28,106.5,27375,150,435,8881B9,HAN,SGN,VAG751,2560,A321,VU751
1619479096,20.17,106.56,29025,150,442,8881B9,HAN,SGN,VAG751,960,A321,VU751
1619479158,20.06,106.63,30475,150,453,8881B9,HAN,SGN,VAG751,1024,A321,VU751
1619479219,19.94,106.68,31750,159,461,8881B9,HAN,SGN,VAG751,1472,A321,VU751
1619479281,19.82,106.73,33725,159,452,8881B9,HAN,SGN,VAG751,1536,A321,VU751
1619479341,19.7,106.78,35600,159,443,8881B9,HAN,SGN,VAG751,1280,A321,VU751
1619479401,19.59,106.83,36000,159,439,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619479467,19.46,106.88,35975,159,440,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619479510,19.38,106.91,36000,159,440,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619479590,19.23,106.97,35975,159,440,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619479644,19.12,107.01,35975,159,444,8881B9,HAN,SGN,VAG751,64,A321,VU751
1619479704,19.01,107.05,36025,159,444,8881B9,HAN,SGN,VAG751,64,A321,VU751
1619479774,18.87,107.11,36025,159,443,8881B9,HAN,SGN,VAG751,-64,A321,VU751
1619479835,18.75,107.15,36000,159,441,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619479898,18.64,107.2,35975,159,440,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619479943,18.55,107.24,35975,159,441,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619480018,18.41,107.29,35975,159,442,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619480067,18.32,107.35,35975,148,448,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619480142,18.2,107.43,35975,149,449,8881B9,HAN,SGN,VAG751,64,A321,VU751
1619480202,18.11,107.49,35975,149,449,8881B9,HAN,SGN,VAG751,64,A321,VU751
1619480262,18.02,107.54,35975,149,449,8881B9,HAN,SGN,VAG751,64,A321,VU751
1619480321,17.86,107.63,35975,150,454,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619480374,17.77,107.68,35975,150,454,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619480430,17.66,107.75,36000,149,457,8881B9,HAN,SGN,VAG751,64,A321,VU751
1619480494,17.56,107.81,36000,149,457,8881B9,HAN,SGN,VAG751,64,A321,VU751
1619480542,17.46,107.88,36000,144,461,8881B9,HAN,SGN,VAG751,-64,A321,VU751
1619480614,17.36,107.96,36000,144,461,8881B9,HAN,SGN,VAG751,-64,A321,VU751
1619480674,17.27,108.03,36000,144,461,8881B9,HAN,SGN,VAG751,-64,A321,VU751
1619480734,17.18,108.09,36000,144,461,8881B9,HAN,SGN,VAG751,-64,A321,VU751
1619480795,16.97,108.11,36025,174,457,8881B9,HAN,SGN,VAG751,64,A321,VU751
1619480861,16.83,108.13,35975,175,456,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619480907,16.74,108.14,35950,174,457,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619480969,16.61,108.15,35975,174,457,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619481042,16.45,108.16,36000,174,458,8881B9,HAN,SGN,VAG751,-64,A321,VU751
1619481109,16.31,108.17,35975,174,458,8881B9,HAN,SGN,VAG751,-64,A321,VU751
1619481165,16.19,108.19,35975,174,459,8881B9,HAN,SGN,VAG751,64,A321,VU751
1619481213,16.09,108.2,36025,175,457,8881B9,HAN,SGN,VAG751,-64,A321,VU751
1619481280,15.95,108.2,35950,181,455,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619481348,15.8,108.19,36000,181,448,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619481403,15.69,108.19,35975,181,446,8881B9,HAN,SGN,VAG751,64,A321,VU751
1619481461,15.57,108.19,36000,181,443,8881B9,HAN,SGN,VAG751,64,A321,VU751
1619481521,15.45,108.19,35975,181,442,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619481570,15.35,108.18,35975,181,442,8881B9,HAN,SGN,VAG751,64,A321,VU751
1619482248,13.96,108.3,33975,193,443,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619482311,13.84,108.27,34000,193,443,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619482367,13.73,108.24,33975,193,444,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619482431,13.6,108.2,34000,193,445,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619482487,13.49,108.21,33975,156,431,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619482546,13.4,108.29,34000,139,429,8881B9,HAN,SGN,VAG751,-64,A321,VU751
1619482610,13.28,108.33,34000,174,430,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619482676,13.14,108.34,34000,177,429,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619482736,13.03,108.34,33125,177,432,8881B9,HAN,SGN,VAG751,-1216,A321,VU751
1619482789,12.92,108.35,32025,177,438,8881B9,HAN,SGN,VAG751,-1216,A321,VU751
1619482845,12.8,108.35,30850,177,457,8881B9,HAN,SGN,VAG751,-1216,A321,VU751
1619482892,12.7,108.36,29850,177,455,8881B9,HAN,SGN,VAG751,-1280,A321,VU751
1619482961,12.56,108.37,28375,177,441,8881B9,HAN,SGN,VAG751,-1280,A321,VU751
1619483022,12.44,108.35,27975,203,437,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619483075,12.34,108.3,28000,204,440,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619483136,12.23,108.25,28000,204,434,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619483186,12.14,108.21,27875,204,447,8881B9,HAN,SGN,VAG751,-512,A321,VU751
1619483264,11.98,108.14,27075,204,467,8881B9,HAN,SGN,VAG751,-576,A321,VU751
1619483328,11.87,108.07,26325,218,415,8881B9,HAN,SGN,VAG751,-768,A321,VU751
1619483392,11.77,107.99,25975,218,406,8881B9,HAN,SGN,VAG751,0,A321,VU751
1619483450,11.69,107.93,25025,218,398,8881B9,HAN,SGN,VAG751,-1664,A321,VU751
1619483511,11.6,107.86,23300,218,386,8881B9,HAN,SGN,VAG751,-1792,A321,VU751
1619483570,11.52,107.79,21600,218,383,8881B9,HAN,SGN,VAG751,-1728,A321,VU751
1619483636,11.44,107.71,19750,225,371,8881B9,HAN,SGN,VAG751,-1664,A321,VU751
1619483694,11.37,107.64,18100,225,363,8881B9,HAN,SGN,VAG751,-1664,A321,VU751
1619483752,11.3,107.57,16475,225,351,8881B9,HAN,SGN,VAG751,-1536,A321,VU751
1619483816,11.22,107.49,14650,225,345,8881B9,HAN,SGN,VAG751,-1728,A321,VU751
1619483871,11.16,107.43,13175,225,334,8881B9,HAN,SGN,VAG751,-1408,A321,VU751
1619483931,11.1,107.36,11775,225,316,8881B9,HAN,SGN,VAG751,-1408,A321,VU751
1619483984,11.05,107.31,10700,225,296,8881B9,HAN,SGN,VAG751,-1408,A321,VU751
1619484044,10.99,107.25,9375,225,280,8881B9,HAN,SGN,VAG751,-960,A321,VU751
1619484112,10.92,107.21,8300,241,262,8881B9,HAN,SGN,VAG751,-1664,A321,VU751
1619484176,10.91,107.13,7100,260,256,8881B9,HAN,SGN,VAG751,-768,A321,VU751
1619484231,10.9,107.07,6350,260,255,8881B9,HAN,SGN,VAG751,-832,A321,VU751
1619484294,10.88,106.99,5475,260,251,8881B9,HAN,SGN,VAG751,-768,A321,VU751
1619484360,10.87,106.92,4700,260,220,8881B9,HAN,SGN,VAG751,-960,A321,VU751
1619484418,10.88,106.86,3975,279,199,8881B9,HAN,SGN,VAG751,-576,A321,VU751
1619484471,10.88,106.82,3075,261,186,8881B9,HAN,SGN,VAG751,-960,A321,VU751
1619484523,10.87,106.78,2275,249,172,8881B9,HAN,SGN,VAG751,-896,A321,VU751
1619484592,10.85,106.73,1300,249,147,8881B9,HAN,SGN,VAG751,-896,A321,VU751
1619484652,10.83,106.69,575,248,150,8881B9,HAN,SGN,VAG751,-704,A321,VU751
1619484714,10.82,106.65,75,248,116,8881B9,HAN,SGN,VAG751,0,A321,VU751
