timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1610815770,10.81,106.64,0,165,15,06A0FB,DOH,SGN,QTR970,0,A359,QR970
1610815698,10.82,106.64,0,250,15,06A0FB,DOH,SGN,QTR970,0,A359,QR970
1610815637,10.82,106.65,0,250,98,06A0FB,DOH,SGN,QTR970,0,A359,QR970
1610815582,10.83,106.68,525,249,137,06A0FB,DOH,SGN,QTR970,-704,A359,QR970
1610815522,10.85,106.72,1225,248,142,06A0FB,DOH,SGN,QTR970,-640,A359,QR970
1610815462,10.86,106.76,1925,249,162,06A0FB,DOH,SGN,QTR970,-640,A359,QR970
1610815401,10.88,106.8,2050,252,163,06A0FB,DOH,SGN,QTR970,0,A359,QR970
1610815342,10.86,106.85,2275,307,193,06A0FB,DOH,SGN,QTR970,-512,A359,QR970
1610815282,10.83,106.89,2825,322,215,06A0FB,DOH,SGN,QTR970,-512,A359,QR970
1610815222,10.77,106.89,3700,6,224,06A0FB,DOH,SGN,QTR970,-1024,A359,QR970
1610815162,10.71,106.89,5225,2,230,06A0FB,DOH,SGN,QTR970,-2112,A359,QR970
1610815106,10.66,106.86,7050,63,254,06A0FB,DOH,SGN,QTR970,-832,A359,QR970
1610815049,10.63,106.79,7925,64,289,06A0FB,DOH,SGN,QTR970,-1088,A359,QR970
1610814989,10.59,106.71,9225,64,297,06A0FB,DOH,SGN,QTR970,-1408,A359,QR970
1610814934,10.57,106.64,10325,88,320,06A0FB,DOH,SGN,QTR970,-1024,A359,QR970
1610814878,10.61,106.56,11375,137,370,06A0FB,DOH,SGN,QTR970,-832,A359,QR970
1610814813,10.69,106.48,13325,138,394,06A0FB,DOH,SGN,QTR970,-2368,A359,QR970
1610814749,10.78,106.41,16250,137,389,06A0FB,DOH,SGN,QTR970,-1728,A359,QR970
1610814688,10.86,106.33,18475,137,397,06A0FB,DOH,SGN,QTR970,-2304,A359,QR970
1610814634,10.94,106.26,20225,137,411,06A0FB,DOH,SGN,QTR970,-1920,A359,QR970
1610814568,11.03,106.17,22575,119,422,06A0FB,DOH,SGN,QTR970,-1920,A359,QR970
1610814506,11.08,106.06,24825,117,436,06A0FB,DOH,SGN,QTR970,-2112,A359,QR970
1610814445,11.14,105.94,27200,117,450,06A0FB,DOH,SGN,QTR970,-2176,A359,QR970
1610814384,11.2,105.83,29200,117,459,06A0FB,DOH,SGN,QTR970,-1984,A359,QR970
1610814324,11.26,105.71,31175,117,478,06A0FB,DOH,SGN,QTR970,-1984,A359,QR970
1610814265,11.32,105.59,33150,117,498,06A0FB,DOH,SGN,QTR970,-1984,A359,QR970
1610814205,11.39,105.47,35125,117,488,06A0FB,DOH,SGN,QTR970,-2048,A359,QR970
1610814139,11.45,105.33,37300,117,475,06A0FB,DOH,SGN,QTR970,-1984,A359,QR970
1610814081,11.51,105.22,38800,117,475,06A0FB,DOH,SGN,QTR970,-704,A359,QR970
