timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1616695699,10.81,106.65,0,160,1,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616695625,10.81,106.65,0,70,22,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616695582,10.81,106.65,0,98,16,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616695529,10.81,106.64,0,157,19,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616695472,10.82,106.65,0,247,76,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616695409,10.83,106.68,625,248,141,88815B,HAN,SGN,VJC181,-768,A21N,VJ181
1616695349,10.85,106.72,1350,249,165,88815B,HAN,SGN,VJC181,-768,A21N,VJ181
1616695293,10.87,106.77,2300,248,230,88815B,HAN,SGN,VJC181,-576,A21N,VJ181
1616695230,10.89,106.83,3375,228,225,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616695166,10.94,106.89,3350,229,275,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616695106,10.99,106.95,4500,229,292,88815B,HAN,SGN,VJC181,-1536,A21N,VJ181
1616695049,11.04,107.01,6100,229,294,88815B,HAN,SGN,VJC181,-1536,A21N,VJ181
1616694985,11.1,107.08,7825,229,300,88815B,HAN,SGN,VJC181,-1472,A21N,VJ181
1616694925,11.16,107.14,9300,229,314,88815B,HAN,SGN,VJC181,-1408,A21N,VJ181
1616694865,11.21,107.21,10450,229,351,88815B,HAN,SGN,VJC181,-1088,A21N,VJ181
1616694805,11.29,107.3,11625,229,430,88815B,HAN,SGN,VJC181,-1984,A21N,VJ181
1616694741,11.37,107.4,15750,229,422,88815B,HAN,SGN,VJC181,-4352,A21N,VJ181
1616694686,11.46,107.45,18625,204,416,88815B,HAN,SGN,VJC181,-2432,A21N,VJ181
1616694625,11.57,107.5,21075,204,427,88815B,HAN,SGN,VJC181,-2432,A21N,VJ181
1616694566,11.68,107.55,23475,204,440,88815B,HAN,SGN,VJC181,-2432,A21N,VJ181
1616694502,11.8,107.61,26075,204,452,88815B,HAN,SGN,VJC181,-2496,A21N,VJ181
1616694441,11.91,107.66,28625,204,466,88815B,HAN,SGN,VJC181,-2432,A21N,VJ181
1616694385,12.02,107.71,31500,204,463,88815B,HAN,SGN,VJC181,-3264,A21N,VJ181
1616694324,12.15,107.76,34125,197,459,88815B,HAN,SGN,VJC181,-1216,A21N,VJ181
1616694269,12.26,107.8,35000,197,457,88815B,HAN,SGN,VJC181,-960,A21N,VJ181
1616694205,12.39,107.84,35975,197,458,88815B,HAN,SGN,VJC181,-192,A21N,VJ181
1616694150,12.5,107.87,35975,197,457,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616694085,12.63,107.92,35975,197,456,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616694029,12.74,107.95,36000,197,459,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616693973,12.86,107.99,36025,197,461,88815B,HAN,SGN,VJC181,-64,A21N,VJ181
1616693917,12.97,108.03,36050,197,464,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616693862,13.08,108.07,36050,198,465,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616693791,13.23,108.12,36000,198,466,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616693734,13.35,108.14,35975,181,462,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616693678,13.47,108.14,35975,181,458,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616693620,13.59,108.14,35975,181,457,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616693558,13.73,108.15,36000,181,458,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616693495,13.86,108.15,36000,181,460,88815B,HAN,SGN,VJC181,-64,A21N,VJ181
1616693435,13.99,108.15,36050,181,462,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616693376,14.11,108.16,36025,181,463,88815B,HAN,SGN,VJC181,64,A21N,VJ181
1616693321,14.23,108.16,36000,181,462,88815B,HAN,SGN,VJC181,64,A21N,VJ181
1616693266,14.35,108.16,35975,181,460,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616693202,14.49,108.16,35975,181,459,88815B,HAN,SGN,VJC181,-64,A21N,VJ181
1616693145,14.61,108.17,36000,181,460,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616693086,14.73,108.17,36000,181,462,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616693028,14.86,108.17,36025,181,463,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616692965,14.99,108.18,36000,181,464,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616692903,15.13,108.17,36000,169,462,88815B,HAN,SGN,VJC181,-64,A21N,VJ181
1616692842,15.26,108.14,36000,167,460,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616692779,15.39,108.11,36000,167,459,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616692721,15.51,108.08,36000,167,458,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616692656,15.64,108.05,36000,167,457,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616692597,15.76,108.02,36000,167,456,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616692537,15.89,107.99,36000,167,456,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616692476,16.01,107.97,36000,167,457,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616692411,16.15,107.94,36000,167,457,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616692356,16.26,107.91,36000,167,458,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616692301,16.38,107.88,36000,167,459,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616692241,16.5,107.86,36000,167,458,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616692172,16.65,107.82,36000,167,459,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616692116,16.76,107.8,36000,167,459,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616692061,16.88,107.77,36000,167,461,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616692005,17.0,107.74,36000,160,460,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616691940,17.12,107.68,36000,155,461,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616691870,17.26,107.62,36000,155,460,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616691819,17.37,107.56,36000,155,461,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616691751,17.53,107.49,36000,155,462,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616691691,17.63,107.45,36000,155,462,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616691629,17.73,107.4,36000,155,462,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616691567,17.85,107.34,36000,155,460,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616691505,17.97,107.28,35975,155,463,88815B,HAN,SGN,VJC181,192,A21N,VJ181
1616691444,18.09,107.22,35050,156,462,88815B,HAN,SGN,VJC181,1024,A21N,VJ181
1616691391,18.2,107.17,32975,156,478,88815B,HAN,SGN,VJC181,1280,A21N,VJ181
1616691309,18.36,107.1,32250,156,468,88815B,HAN,SGN,VJC181,1088,A21N,VJ181
1616691270,18.44,107.06,32000,156,466,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616691202,18.57,107.0,32000,156,466,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616691137,18.7,106.94,32000,156,466,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616691073,18.83,106.88,32000,156,466,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616691011,18.95,106.82,32000,155,467,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616690958,19.05,106.77,32000,155,465,88815B,HAN,SGN,VJC181,0,A21N,VJ181
1616690898,19.17,106.72,31800,156,478,88815B,HAN,SGN,VJC181,1280,A21N,VJ181
1616690840,19.29,106.66,30450,154,482,88815B,HAN,SGN,VJC181,1024,A21N,VJ181
1616690779,19.41,106.6,29325,154,480,88815B,HAN,SGN,VJC181,832,A21N,VJ181
1616690722,19.53,106.54,28425,154,473,88815B,HAN,SGN,VJC181,1152,A21N,VJ181
1616690660,19.65,106.48,27000,154,479,88815B,HAN,SGN,VJC181,1664,A21N,VJ181
1616690600,19.78,106.42,25675,154,484,88815B,HAN,SGN,VJC181,704,A21N,VJ181
1616690544,19.89,106.37,24650,154,487,88815B,HAN,SGN,VJC181,1408,A21N,VJ181
1616690488,20.0,106.31,23625,154,484,88815B,HAN,SGN,VJC181,1664,A21N,VJ181
1616690424,20.13,106.25,22475,154,475,88815B,HAN,SGN,VJC181,1344,A21N,VJ181
1616690365,20.25,106.19,21175,154,468,88815B,HAN,SGN,VJC181,1408,A21N,VJ181
1616690309,20.36,106.13,19925,154,458,88815B,HAN,SGN,VJC181,1600,A21N,VJ181
1616690245,20.49,106.1,18225,170,443,88815B,HAN,SGN,VJC181,1152,A21N,VJ181
1616690190,20.6,106.08,16675,167,436,88815B,HAN,SGN,VJC181,1600,A21N,VJ181
1616690126,20.72,106.05,14550,167,428,88815B,HAN,SGN,VJC181,2176,A21N,VJ181
