timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1616874474,10.82,106.64,0,219,16,86EF8E,NRT,SGN,ANA833,0,B789,NH833
1616874451,10.82,106.65,0,247,34,86EF8E,NRT,SGN,ANA833,0,B789,NH833
1616874394,10.83,106.67,425,249,159,86EF8E,NRT,SGN,ANA833,-960,B789,NH833
1616874330,10.85,106.72,1300,249,169,86EF8E,NRT,SGN,ANA833,-1088,B789,NH833
1616874268,10.87,106.77,2275,249,226,86EF8E,NRT,SGN,ANA833,-1024,B789,NH833
1616874207,10.89,106.83,3900,247,253,86EF8E,NRT,SGN,ANA833,-1600,B789,NH833
1616874146,10.92,106.9,5150,247,255,86EF8E,NRT,SGN,ANA833,0,B789,NH833
1616874084,10.95,106.98,5750,247,289,86EF8E,NRT,SGN,ANA833,-1344,B789,NH833
1616874017,10.98,107.06,7175,247,298,86EF8E,NRT,SGN,ANA833,-1344,B789,NH833
1616873963,11.01,107.13,8375,247,304,86EF8E,NRT,SGN,ANA833,-1344,B789,NH833
1616873903,11.05,107.21,9675,247,314,86EF8E,NRT,SGN,ANA833,-1920,B789,NH833
1616873848,11.08,107.29,10825,247,326,86EF8E,NRT,SGN,ANA833,-896,B789,NH833
1616873786,11.12,107.38,11775,246,362,86EF8E,NRT,SGN,ANA833,-960,B789,NH833
1616873731,11.16,107.47,13350,247,382,86EF8E,NRT,SGN,ANA833,-2368,B789,NH833
1616873671,11.2,107.57,15500,244,393,86EF8E,NRT,SGN,ANA833,-2432,B789,NH833
1616873614,11.24,107.67,17700,243,396,86EF8E,NRT,SGN,ANA833,-2560,B789,NH833
1616873551,11.3,107.77,19825,243,404,86EF8E,NRT,SGN,ANA833,-2176,B789,NH833
1616873489,11.35,107.88,21600,243,418,86EF8E,NRT,SGN,ANA833,-1856,B789,NH833
1616873432,11.4,107.98,23300,243,432,86EF8E,NRT,SGN,ANA833,-2176,B789,NH833
1616873366,11.46,108.1,25475,243,443,86EF8E,NRT,SGN,ANA833,-2240,B789,NH833
1616873302,11.52,108.23,27600,243,455,86EF8E,NRT,SGN,ANA833,-2304,B789,NH833
1616873247,11.57,108.33,29375,243,468,86EF8E,NRT,SGN,ANA833,-2496,B789,NH833
1616873183,11.63,108.46,32525,243,457,86EF8E,NRT,SGN,ANA833,-3200,B789,NH833
1616873117,11.69,108.58,35550,243,448,86EF8E,NRT,SGN,ANA833,-2176,B789,NH833
1616873059,11.74,108.69,37000,243,448,86EF8E,NRT,SGN,ANA833,-1536,B789,NH833
1616872993,11.8,108.82,37925,243,449,86EF8E,NRT,SGN,ANA833,-320,B789,NH833
1616872944,11.85,108.91,38000,243,447,86EF8E,NRT,SGN,ANA833,0,B789,NH833
