timestamp,lat,long,flight number
1609450660.375,,,5X146
1609475703.8333333,,,BR391
1609468997.1764705,,,BR395
1609454416.4,,,CI5886
1609468031.548387,,,CI781
1609494446.6296296,,,CI783
1609461640.0666666,,,CV7324
1609468424.0,,,CX767
1609497885.6551723,,,CX799
1609440198.764706,,,CZ8175
1609504023.24,,,EK392
1609518418.2580645,,,EY975
1609521628.4166667,,,EY995
1609453981.903226,,,FX5194
1609514437.8181818,,,JL759
1609488429.8214285,,,K6816
1609510371.4285715,,,KE683
1609441692.0,,,MU7053
1609444449.7741935,,,NH833
1609510153.64,,,NH891
1609522325.3030303,,,OZ7353
1609472198.2666667,,,QH1123
1609511009.1290324,,,QH1143
1609491954.0,,,QH1153
1609499114.6206896,,,QH1173
1609511314.5925925,,,QH1313
1609488130.6086957,,,QH1321
1609479696.9310346,,,QH1501
1609495566.7142856,,,QH1522
1609515120.7272727,,,QH1541
1609502590.483871,,,QH1547
1609515839.08,,,QH171
1609482460.0,,,QH1971
1609465979.2666667,,,QH203
1609472793.2222223,,,QH205
1609479031.142857,,,QH207
1609462771.6666667,,,QH209
1609505230.9375,,,QH215
1609492736.0,,,QH241
1609500967.5555556,,,QH243
1609514665.3225806,,,QH247
1609520910.6,,,QH281
1609522929.1724138,,,QH283
1609518209.0689654,,,QH285
1609520630.8275862,,,QR970
1609446601.96875,,,RH319
1609471980.4242425,,,SQ178
1609495180.3076923,,,TR302
1609464437.6470587,,,VJ127
1609471438.0,,,VJ129
1609440902.2,,,VJ133
1609500541.7741935,,,VJ135
1609477355.2608695,,,VJ137
1609493278.8,,,VJ139
1609490378.142857,,,VJ141
1609513910.7428572,,,VJ145
1609462967.625,,,VJ147
1609518671.9047618,,,VJ151
1609513531.047619,,,VJ155
1609521094.72,,,VJ159
1609516725.4827585,,,VJ169
1609516142.4242425,,,VJ173
1609462094.4666667,,,VJ175
1609508667.8333333,,,VJ177
1609437122.7058823,,,VJ179
1609443695.5151515,,,VJ181
1609505885.9629629,,,VJ183
1609495960.857143,,,VJ189
1609474520.8148148,,,VJ195
1609503183.25,,,VJ197
