station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
VVTS,1/1/2021 0:00,106.6667,10.8167,73.4,60.8,64.69,20,6,0,29.88,M,6.21,M,FEW,BKN,M,M,2000,5000,M,M,M,M,M,M,M,M,M,73.4,VVTS 010000Z 02006KT 9999 FEW020 BKN050 23/16 Q1012 NOSIG,M
VVTS,1/1/2021 0:30,106.6667,10.8167,73.4,60.8,64.69,10,7,0,29.88,M,6.21,M,FEW,BKN,M,M,2000,5000,M,M,M,M,M,M,M,M,M,73.4,VVTS 010030Z 01007KT 9999 FEW020 BKN050 23/16 Q1012 NOSIG,M
VVTS,1/1/2021 1:00,106.6667,10.8167,73.4,60.8,64.69,10,4,0,29.91,M,6.21,M,FEW,BKN,M,M,1700,5000,M,M,M,M,M,M,M,M,M,73.4,VVTS 010100Z 01004KT 350V050 9999 FEW017 BKN050 23/16 Q1013 NOSIG,M
VVTS,1/1/2021 1:30,106.6667,10.8167,73.4,60.8,64.69,10,5,0,29.91,M,6.21,M,FEW,BKN,M,M,1700,5000,M,M,M,M,M,M,M,M,M,73.4,VVTS 010130Z 01005KT 330V060 9999 FEW017 BKN050 23/16 Q1013 NOSIG,M
VVTS,1/1/2021 2:00,106.6667,10.8167,75.2,60.8,60.9,10,4,0,29.91,M,6.21,M,FEW,BKN,M,M,1700,5000,M,M,M,M,M,M,M,M,M,75.2,VVTS 010200Z 01004KT 340V040 9999 FEW017 BKN050 24/16 Q1013 NOSIG,M
VVTS,1/1/2021 2:30,106.6667,10.8167,77,60.8,57.36,50,7,0,29.91,M,6.21,M,FEW,BKN,M,M,1700,5000,M,M,M,M,M,M,M,M,M,77,VVTS 010230Z 05007KT 9999 FEW017 BKN050 25/16 Q1013 NOSIG,M
VVTS,1/1/2021 3:00,106.6667,10.8167,78.8,60.8,54.05,40,6,0,29.91,M,6.21,M,FEW,SCT,M,M,1700,5000,M,M,M,M,M,M,M,M,M,78.8,VVTS 010300Z 04006KT 010V070 9999 FEW017 SCT050 26/16 Q1013 NOSIG,M
VVTS,1/1/2021 3:30,106.6667,10.8167,78.8,60.8,54.05,40,5,0,29.91,M,6.21,M,FEW,SCT,M,M,1700,5000,M,M,M,M,M,M,M,M,M,78.8,VVTS 010330Z 04005KT 350V070 9999 FEW017 SCT050 26/16 Q1013 NOSIG,M
VVTS,1/1/2021 4:00,106.6667,10.8167,82.4,60.8,48.05,40,6,0,29.91,M,6.21,M,FEW,SCT,M,M,1700,5000,M,M,M,M,M,M,M,M,M,82.9,VVTS 010400Z 04006KT 360V070 9999 FEW017 SCT050 28/16 Q1013 NOSIG,M
VVTS,1/1/2021 5:00,106.6667,10.8167,82.4,60.8,48.05,30,6,0,29.88,M,6.21,M,FEW,BKN,M,M,1700,5000,M,M,M,M,M,M,M,M,M,82.9,VVTS 010500Z 03006KT 350V140 9999 FEW017 BKN050 28/16 Q1012 NOSIG,M
VVTS,1/1/2021 5:30,106.6667,10.8167,84.2,60.8,45.34,20,8,0,29.85,M,6.21,M,FEW,BKN,M,M,1700,5000,M,M,M,M,M,M,M,M,M,84.43,VVTS 010530Z 02008KT 340V080 9999 FEW017 BKN050 29/16 Q1011 NOSIG,M
VVTS,1/1/2021 6:00,106.6667,10.8167,86,62.6,45.61,40,8,0,29.83,M,6.21,M,FEW,BKN,M,M,1700,5000,M,M,M,M,M,M,M,M,M,86.72,VVTS 010600Z 04008KT 360V090 9999 FEW017 BKN050 30/17 Q1010 NOSIG,M
VVTS,1/1/2021 6:30,106.6667,10.8167,84.2,60.8,45.34,50,8,0,29.83,M,6.21,M,FEW,BKN,M,M,1700,5000,M,M,M,M,M,M,M,M,M,84.43,VVTS 010630Z 05008KT 360V090 9999 FEW017 BKN050 29/16 Q1010 NOSIG,M
VVTS,1/1/2021 7:00,106.6667,10.8167,84.2,60.8,45.34,40,10,0,29.83,M,6.21,M,FEW,BKN,M,M,1700,5000,M,M,M,M,M,M,M,M,M,84.43,VVTS 010700Z 04010KT 360V080 9999 FEW017 BKN050 29/16 Q1010 NOSIG,M
VVTS,1/1/2021 7:30,106.6667,10.8167,82.4,62.6,51.21,60,10,0,29.8,M,6.21,M,FEW,BKN,M,M,1700,5000,M,M,M,M,M,M,M,M,M,83.41,VVTS 010730Z 06010KT 9999 FEW017 BKN050 28/17 Q1009 NOSIG,M
VVTS,1/1/2021 8:00,106.6667,10.8167,84.2,60.8,45.34,60,6,0,29.8,M,6.21,M,FEW,BKN,M,M,1700,5000,M,M,M,M,M,M,M,M,M,84.43,VVTS 010800Z 06006KT 020V080 9999 FEW017 BKN050 29/16 Q1009 NOSIG,M
VVTS,1/1/2021 8:30,106.6667,10.8167,82.4,62.6,51.21,50,6,0,29.8,M,6.21,M,FEW,BKN,M,M,1700,5000,M,M,M,M,M,M,M,M,M,83.41,VVTS 010830Z 05006KT 010V080 9999 FEW017 BKN050 28/17 Q1009 NOSIG,M
VVTS,1/1/2021 9:00,106.6667,10.8167,82.4,62.6,51.21,50,8,0,29.83,M,6.21,M,FEW,BKN,M,M,1700,5000,M,M,M,M,M,M,M,M,M,83.41,VVTS 010900Z 05008KT 030V090 9999 FEW017 BKN050 28/17 Q1010 NOSIG,M
VVTS,1/1/2021 9:30,106.6667,10.8167,82.4,60.8,48.05,50,8,0,29.83,M,6.21,M,FEW,BKN,M,M,1700,5000,M,M,M,M,M,M,M,M,M,82.9,VVTS 010930Z 05008KT 9999 FEW017 BKN050 28/16 Q1010 NOSIG,M
VVTS,1/1/2021 10:00,106.6667,10.8167,80.6,60.8,50.95,10,8,0,29.83,M,6.21,M,FEW,BKN,M,M,1700,5000,M,M,M,M,M,M,M,M,M,81.46,VVTS 011000Z 01008KT 340V040 9999 FEW017 BKN050 27/16 Q1010 NOSIG,M
VVTS,1/1/2021 10:30,106.6667,10.8167,80.6,60.8,50.95,20,6,0,29.85,M,6.21,M,FEW,BKN,M,M,1700,5000,M,M,M,M,M,M,M,M,M,81.46,VVTS 011030Z 02006KT 340V050 9999 FEW017 BKN050 27/16 Q1011 NOSIG,M
