timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525837746,49.268,135.9231,34000,226,514,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525837811,49.163,135.7577,34000,225,515,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525837874,49.0569,135.5915,34000,225,515,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525837931,48.974,135.4309,34000,246,522,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525837998,48.9523,135.1878,34000,266,523,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525838060,48.9427,134.9551,34000,266,522,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525838122,48.9328,134.7332,34000,265,521,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525838180,48.9227,134.5229,34000,265,522,C0175A,YVR,HKG,ACA007,64,B77W,AC7
1525838250,48.9099,134.2676,34000,265,522,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525838308,48.8987,134.0502,34000,265,522,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525838368,48.8873,133.8372,34000,265,522,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525838428,48.8751,133.6167,34000,265,520,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525838491,48.8621,133.3891,34000,264,519,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525838558,48.7973,133.2085,34000,217,519,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525838618,48.6995,133.0968,34000,217,519,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525838682,48.7468,132.7421,34100,233,517,C0175A,YVR,HKG,ACA007,64,B77W,AC7
1525838738,48.6654,132.5798,34100,232,518,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525838784,48.5972,132.4444,34100,232,521,C0175A,YVR,HKG,ACA007,128,B77W,AC7
1525838858,48.4745,132.3099,34100,216,521,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525838932,48.3836,132.0233,34100,232,520,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525838993,48.2927,131.8464,34100,232,519,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525839055,48.2027,131.6723,34100,232,520,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525839117,48.0958,131.516,34100,213,520,C0175A,YVR,HKG,ACA007,64,B77W,AC7
1525839176,47.9739,131.4044,34100,211,519,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525839240,47.8461,131.2888,34100,211,518,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525839301,47.7166,131.172,34100,211,518,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525839364,47.5889,131.0644,34100,208,518,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525839426,47.4575,130.9591,34100,208,520,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525839493,47.3154,130.844,34100,208,520,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525839551,47.1909,130.7436,34100,208,519,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525839615,47.0563,130.6356,34100,208,519,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525839668,46.9488,130.5499,34100,208,520,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525839742,46.8248,130.4229,34100,215,520,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525839802,46.7243,130.3202,34100,215,520,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525839862,46.6238,130.2176,34100,215,520,C0175A,YVR,HKG,ACA007,0,B77W,AC7
1525839921,46.6626,129.8094,34100,247,512,C0175A,YVR,HKG,ACA007,64,B77W,AC7
1525839984,46.6066,129.6089,34100,247,518,C0175A,YVR,HKG,ACA007,64,B77W,AC7
