timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1614446906,10.82,106.66,0,244,7,896354,AUH,SGN,ETD975,0,B77W,EY975
1614446878,10.82,106.66,0,185,8,896354,AUH,SGN,ETD975,0,B77W,EY975
1614446817,10.82,106.66,0,70,22,896354,AUH,SGN,ETD975,0,B77W,EY975
1614446761,10.81,106.65,0,70,22,896354,AUH,SGN,ETD975,0,B77W,EY975
1614446675,10.81,106.64,0,70,20,896354,AUH,SGN,ETD975,0,B77W,EY975
1614446629,10.81,106.64,0,67,14,896354,AUH,SGN,ETD975,0,B77W,EY975
1614446579,10.81,106.64,0,87,8,896354,AUH,SGN,ETD975,0,B77W,EY975
1614446523,10.81,106.64,0,160,15,896354,AUH,SGN,ETD975,0,B77W,EY975
1614446462,10.82,106.64,0,244,9,896354,AUH,SGN,ETD975,0,B77W,EY975
1614446405,10.82,106.65,0,250,70,896354,AUH,SGN,ETD975,0,B77W,EY975
1614446348,10.83,106.68,525,248,162,896354,AUH,SGN,ETD975,-832,B77W,EY975
1614446289,10.85,106.72,1325,249,170,896354,AUH,SGN,ETD975,-832,B77W,EY975
1614446229,10.87,106.77,2100,249,195,896354,AUH,SGN,ETD975,0,B77W,EY975
1614446173,10.88,106.82,2300,271,218,896354,AUH,SGN,ETD975,-320,B77W,EY975
1614446114,10.87,106.88,2575,290,220,896354,AUH,SGN,ETD975,-320,B77W,EY975
1614446054,10.82,106.91,2900,353,239,896354,AUH,SGN,ETD975,-384,B77W,EY975
1614445994,10.75,106.91,3600,35,259,896354,AUH,SGN,ETD975,-704,B77W,EY975
1614445937,10.72,106.84,4675,68,261,896354,AUH,SGN,ETD975,-1856,B77W,EY975
1614445875,10.7,106.77,7050,69,275,896354,AUH,SGN,ETD975,-2560,B77W,EY975
1614445811,10.67,106.69,9700,68,290,896354,AUH,SGN,ETD975,-2048,B77W,EY975
1614445754,10.64,106.62,11475,68,334,896354,AUH,SGN,ETD975,-2112,B77W,EY975
1614445691,10.65,106.53,13425,135,347,896354,AUH,SGN,ETD975,-1216,B77W,EY975
1614445632,10.72,106.46,14950,137,353,896354,AUH,SGN,ETD975,-1600,B77W,EY975
1614445568,10.8,106.39,16625,137,359,896354,AUH,SGN,ETD975,-1600,B77W,EY975
1614445514,10.86,106.33,18100,137,366,896354,AUH,SGN,ETD975,-1280,B77W,EY975
1614445459,10.93,106.26,19500,137,375,896354,AUH,SGN,ETD975,-1664,B77W,EY975
1614445398,11.01,106.19,21200,129,383,896354,AUH,SGN,ETD975,-1728,B77W,EY975
1614445338,11.07,106.09,22950,118,391,896354,AUH,SGN,ETD975,-1600,B77W,EY975
1614445279,11.12,106.0,23925,118,396,896354,AUH,SGN,ETD975,-960,B77W,EY975
1614445224,11.17,105.91,24800,118,399,896354,AUH,SGN,ETD975,-896,B77W,EY975
1614445162,11.22,105.8,26325,118,406,896354,AUH,SGN,ETD975,-1280,B77W,EY975
1614445106,11.27,105.71,27875,118,419,896354,AUH,SGN,ETD975,-1984,B77W,EY975
1614445047,11.33,105.6,29750,118,430,896354,AUH,SGN,ETD975,-1792,B77W,EY975
1614444994,11.38,105.51,31475,118,440,896354,AUH,SGN,ETD975,-1920,B77W,EY975
1614444934,11.44,105.4,33375,118,455,896354,AUH,SGN,ETD975,-2048,B77W,EY975
1614444875,11.5,105.28,34950,118,467,896354,AUH,SGN,ETD975,-640,B77W,EY975
1614444808,11.57,105.15,35000,118,468,896354,AUH,SGN,ETD975,0,B77W,EY975
1614444756,11.62,105.05,35000,118,469,896354,AUH,SGN,ETD975,0,B77W,EY975
1614444703,11.68,104.95,35000,118,470,896354,AUH,SGN,ETD975,0,B77W,EY975
1614444639,11.74,104.82,35000,118,472,896354,AUH,SGN,ETD975,0,B77W,EY975
1614444577,11.81,104.7,35000,118,472,896354,AUH,SGN,ETD975,0,B77W,EY975
1614444519,11.87,104.59,35000,118,472,896354,AUH,SGN,ETD975,0,B77W,EY975
1614444456,11.93,104.46,35000,118,473,896354,AUH,SGN,ETD975,0,B77W,EY975
1614444399,11.99,104.35,35000,118,473,896354,AUH,SGN,ETD975,0,B77W,EY975
1614444340,12.05,104.24,35000,118,472,896354,AUH,SGN,ETD975,0,B77W,EY975
1614444280,12.12,104.12,35000,118,472,896354,AUH,SGN,ETD975,0,B77W,EY975
1614444218,12.18,104.0,35000,118,472,896354,AUH,SGN,ETD975,0,B77W,EY975
1614444159,12.24,103.88,35000,118,472,896354,AUH,SGN,ETD975,0,B77W,EY975
1614444097,12.3,103.76,35000,117,471,896354,AUH,SGN,ETD975,0,B77W,EY975
1614444043,12.36,103.65,35000,117,471,896354,AUH,SGN,ETD975,0,B77W,EY975
1614443978,12.42,103.52,35000,117,470,896354,AUH,SGN,ETD975,0,B77W,EY975
1614443921,12.48,103.41,35000,117,470,896354,AUH,SGN,ETD975,0,B77W,EY975
1614443863,12.54,103.3,35000,117,470,896354,AUH,SGN,ETD975,0,B77W,EY975
1614443800,12.61,103.17,35000,117,471,896354,AUH,SGN,ETD975,0,B77W,EY975
1614443742,12.67,103.06,35000,117,471,896354,AUH,SGN,ETD975,0,B77W,EY975
1614443687,12.72,102.95,35000,117,470,896354,AUH,SGN,ETD975,0,B77W,EY975
1614443630,12.78,102.84,35000,117,469,896354,AUH,SGN,ETD975,0,B77W,EY975
1614443568,12.84,102.72,35000,117,469,896354,AUH,SGN,ETD975,0,B77W,EY975
1614443513,12.9,102.61,35000,117,468,896354,AUH,SGN,ETD975,0,B77W,EY975
1614443451,12.96,102.49,35000,115,469,896354,AUH,SGN,ETD975,0,B77W,EY975
1614443394,13.01,102.37,35000,111,469,896354,AUH,SGN,ETD975,0,B77W,EY975
1614443332,13.06,102.24,35000,111,468,896354,AUH,SGN,ETD975,0,B77W,EY975
1614443274,13.1,102.12,35000,111,468,896354,AUH,SGN,ETD975,0,B77W,EY975
1614443214,13.15,102.0,35000,111,468,896354,AUH,SGN,ETD975,0,B77W,EY975
1614443150,13.2,101.87,35000,111,468,896354,AUH,SGN,ETD975,0,B77W,EY975
1614443091,13.25,101.75,35000,111,467,896354,AUH,SGN,ETD975,0,B77W,EY975
1614443026,13.3,101.61,35000,111,469,896354,AUH,SGN,ETD975,0,B77W,EY975
1614442961,13.35,101.48,35000,111,468,896354,AUH,SGN,ETD975,0,B77W,EY975
1614442909,13.39,101.37,35000,111,468,896354,AUH,SGN,ETD975,0,B77W,EY975
1614442850,13.44,101.25,35000,111,468,896354,AUH,SGN,ETD975,0,B77W,EY975
1614442791,13.49,101.12,35000,111,468,896354,AUH,SGN,ETD975,0,B77W,EY975
1614442734,13.53,101.01,35000,111,467,896354,AUH,SGN,ETD975,0,B77W,EY975
1614442674,13.58,100.88,35000,111,467,896354,AUH,SGN,ETD975,0,B77W,EY975
1614442607,13.63,100.74,35000,111,467,896354,AUH,SGN,ETD975,0,B77W,EY975
1614442545,13.68,100.62,35000,111,467,896354,AUH,SGN,ETD975,0,B77W,EY975
1614442477,13.73,100.47,35000,110,468,896354,AUH,SGN,ETD975,0,B77W,EY975
1614442423,13.77,100.36,35000,110,468,896354,AUH,SGN,ETD975,0,B77W,EY975
1614442363,13.82,100.24,35000,110,468,896354,AUH,SGN,ETD975,0,B77W,EY975
1614442303,13.87,100.11,35000,110,469,896354,AUH,SGN,ETD975,0,B77W,EY975
1614442236,13.92,99.97,35000,110,469,896354,AUH,SGN,ETD975,0,B77W,EY975
1614442174,13.97,99.84,35000,110,469,896354,AUH,SGN,ETD975,0,B77W,EY975
1614442118,14.01,99.73,35000,110,470,896354,AUH,SGN,ETD975,0,B77W,EY975
1614442055,14.06,99.6,35000,110,472,896354,AUH,SGN,ETD975,0,B77W,EY975
1614441999,14.1,99.48,35000,110,474,896354,AUH,SGN,ETD975,0,B77W,EY975
1614441942,14.15,99.36,35000,110,475,896354,AUH,SGN,ETD975,0,B77W,EY975
1614441882,14.2,99.23,35000,110,474,896354,AUH,SGN,ETD975,0,B77W,EY975
1614441826,14.24,99.11,35000,110,475,896354,AUH,SGN,ETD975,0,B77W,EY975
1614441771,14.28,99.0,35000,110,475,896354,AUH,SGN,ETD975,0,B77W,EY975
1614441711,14.33,98.87,35000,110,475,896354,AUH,SGN,ETD975,0,B77W,EY975
1614441649,14.38,98.74,35000,110,475,896354,AUH,SGN,ETD975,0,B77W,EY975
1614441591,14.42,98.61,35000,110,475,896354,AUH,SGN,ETD975,0,B77W,EY975
1614441526,14.47,98.48,35000,110,475,896354,AUH,SGN,ETD975,0,B77W,EY975
