timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1615146540,10.81,106.65,0,70,19,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615146522,10.81,106.65,0,70,17,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615146429,10.81,106.65,0,73,11,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615146392,10.81,106.64,0,101,10,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615146331,10.81,106.64,0,160,15,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615146251,10.82,106.65,0,250,69,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615146211,10.83,106.67,250,249,154,86EFB0,NRT,SGN,ANA833,-896,B789,NH833
1615146151,10.84,106.71,1075,249,164,86EFB0,NRT,SGN,ANA833,-896,B789,NH833
1615146095,10.86,106.76,1900,249,176,86EFB0,NRT,SGN,ANA833,-896,B789,NH833
1615146032,10.88,106.81,2050,249,201,86EFB0,NRT,SGN,ANA833,64,B789,NH833
1615145968,10.9,106.87,2275,255,247,86EFB0,NRT,SGN,ANA833,-512,B789,NH833
1615145903,10.92,106.95,3050,255,274,86EFB0,NRT,SGN,ANA833,-1408,B789,NH833
1615145844,10.94,107.02,4500,255,260,86EFB0,NRT,SGN,ANA833,-1728,B789,NH833
1615145780,10.95,107.1,5750,256,263,86EFB0,NRT,SGN,ANA833,-832,B789,NH833
1615145717,10.97,107.18,6475,255,292,86EFB0,NRT,SGN,ANA833,-960,B789,NH833
1615145665,10.99,107.25,7450,255,303,86EFB0,NRT,SGN,ANA833,-1536,B789,NH833
1615145598,11.02,107.34,9000,255,308,86EFB0,NRT,SGN,ANA833,-1344,B789,NH833
1615145554,11.03,107.41,9925,254,315,86EFB0,NRT,SGN,ANA833,-1408,B789,NH833
1615145494,11.07,107.49,10675,240,345,86EFB0,NRT,SGN,ANA833,-512,B789,NH833
1615145437,11.12,107.57,11975,240,367,86EFB0,NRT,SGN,ANA833,-2496,B789,NH833
1615145376,11.17,107.66,14125,240,368,86EFB0,NRT,SGN,ANA833,-2176,B789,NH833
1615145316,11.22,107.76,15850,240,385,86EFB0,NRT,SGN,ANA833,-1280,B789,NH833
1615145259,11.27,107.85,17525,240,398,86EFB0,NRT,SGN,ANA833,-1984,B789,NH833
1615145202,11.32,107.94,19325,240,407,86EFB0,NRT,SGN,ANA833,-1920,B789,NH833
1615145136,11.39,108.05,21425,240,416,86EFB0,NRT,SGN,ANA833,-1856,B789,NH833
1615145082,11.44,108.15,23075,240,426,86EFB0,NRT,SGN,ANA833,-2048,B789,NH833
1615145024,11.49,108.25,24925,240,435,86EFB0,NRT,SGN,ANA833,-2176,B789,NH833
1615144964,11.56,108.36,26650,240,451,86EFB0,NRT,SGN,ANA833,-1728,B789,NH833
1615144911,11.61,108.46,28325,240,463,86EFB0,NRT,SGN,ANA833,-1920,B789,NH833
1615144850,11.68,108.58,30425,240,474,86EFB0,NRT,SGN,ANA833,-2304,B789,NH833
1615144774,11.76,108.72,33575,240,481,86EFB0,NRT,SGN,ANA833,-3520,B789,NH833
1615144715,11.82,108.84,36725,240,468,86EFB0,NRT,SGN,ANA833,-3520,B789,NH833
1615144662,11.88,108.94,38000,240,469,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615144576,11.96,109.11,38000,250,469,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615144548,11.98,109.17,38000,253,470,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615144497,12.02,109.28,37975,241,468,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615144437,12.09,109.39,38000,241,470,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615144379,12.15,109.5,38000,241,471,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615144321,12.21,109.62,37975,241,471,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615144270,12.26,109.72,37975,241,470,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615144213,12.32,109.83,37975,241,469,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615144146,12.39,109.96,38000,241,469,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615144090,12.44,110.07,38000,241,467,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615144029,12.51,110.19,37975,241,469,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615143968,12.57,110.31,38000,241,467,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615143907,12.63,110.43,38000,241,469,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615143852,12.69,110.54,38000,241,469,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615143790,12.75,110.66,38000,241,471,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615143708,12.84,110.82,37975,242,470,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615143656,12.89,110.92,38000,242,468,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615143614,12.93,111.0,38000,242,468,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615143541,13.01,111.15,38000,242,470,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615143493,13.05,111.24,37975,242,469,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615143438,13.12,111.36,38000,244,470,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615143370,13.19,111.5,37975,244,469,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615143309,13.24,111.6,37975,242,469,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615143229,13.32,111.76,37975,242,471,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615143181,13.37,111.86,37975,242,471,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615143138,13.45,111.99,38000,244,472,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615143078,13.5,112.09,38000,244,472,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615143018,13.55,112.19,38000,244,472,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615142956,13.6,112.3,38000,242,472,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615142898,13.7,112.48,39450,244,472,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615142838,13.75,112.58,39450,244,472,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615142778,13.8,112.68,39450,244,472,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615142718,13.85,112.79,39450,244,472,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615140834,16.89,115.6,39975,224,452,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615140786,16.96,115.67,39975,224,452,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615140726,17.05,115.76,39975,224,452,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615140666,17.14,115.85,39975,224,452,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615140606,17.23,115.95,39975,224,452,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615140546,17.32,116.04,39975,224,452,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615140486,17.4,116.12,39975,224,452,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615140414,17.48,116.2,40000,224,451,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615140354,17.56,116.28,40000,224,451,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615140294,17.63,116.36,40000,224,451,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615140221,17.73,116.45,40000,224,451,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615140174,17.8,116.52,39975,224,451,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615140117,17.89,116.61,40000,224,453,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615140045,17.99,116.72,40000,224,453,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615139991,18.07,116.8,40000,224,453,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615139934,18.16,116.89,39975,224,453,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615139871,18.25,116.99,40000,224,453,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615139813,18.34,117.08,40000,224,453,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615139752,18.43,117.17,40000,224,453,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615139690,18.52,117.27,40000,224,453,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615139633,18.61,117.36,39975,224,455,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615139556,18.73,117.48,40000,224,456,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615139513,18.79,117.54,40000,224,456,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615139452,18.88,117.64,40000,224,456,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615139395,18.97,117.73,40000,224,455,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615139324,19.08,117.84,40000,224,453,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615139279,19.14,117.91,39975,224,453,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615139215,19.24,118.01,39975,224,453,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615139157,19.33,118.1,40000,224,452,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615139099,19.41,118.19,39975,224,453,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615139043,19.49,118.28,40000,224,452,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615138979,19.59,118.38,40000,224,453,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615138919,19.68,118.47,39975,224,451,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615138855,19.77,118.57,39975,224,450,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1615138795,19.86,118.67,39975,225,451,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1615138737,19.95,118.76,40000,225,451,86EFB0,NRT,SGN,ANA833,0,B789,NH833
