timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1616860874,10.82,106.65,0,247,19,8880E1,HAN,SGN,HVN221,0,B789,VN221
1616860822,10.83,106.66,200,248,147,8880E1,HAN,SGN,HVN221,-832,B789,VN221
1616860764,10.84,106.7,950,248,155,8880E1,HAN,SGN,HVN221,-768,B789,VN221
1616860705,10.86,106.75,1775,249,181,8880E1,HAN,SGN,HVN221,-960,B789,VN221
1616860649,10.87,106.79,2700,249,199,8880E1,HAN,SGN,HVN221,-1152,B789,VN221
1616860590,10.9,106.84,3550,241,199,8880E1,HAN,SGN,HVN221,-896,B789,VN221
1616860527,10.93,106.9,4450,242,225,8880E1,HAN,SGN,HVN221,-640,B789,VN221
1616860459,10.96,106.97,5725,242,248,8880E1,HAN,SGN,HVN221,-1536,B789,VN221
1616860404,10.99,107.03,6875,242,262,8880E1,HAN,SGN,HVN221,-832,B789,VN221
1616860340,11.03,107.1,7575,242,302,8880E1,HAN,SGN,HVN221,-896,B789,VN221
1616860279,11.07,107.18,8400,242,334,8880E1,HAN,SGN,HVN221,-960,B789,VN221
1616860216,11.12,107.27,9425,241,373,8880E1,HAN,SGN,HVN221,-1984,B789,VN221
1616860156,11.17,107.37,11575,242,375,8880E1,HAN,SGN,HVN221,-3008,B789,VN221
1616860095,11.22,107.46,13525,242,388,8880E1,HAN,SGN,HVN221,-576,B789,VN221
1616860036,11.29,107.54,15400,208,409,8880E1,HAN,SGN,HVN221,-2944,B789,VN221
1616859970,11.41,107.61,17875,208,430,8880E1,HAN,SGN,HVN221,-2496,B789,VN221
1616859911,11.51,107.67,20300,208,443,8880E1,HAN,SGN,HVN221,-2752,B789,VN221
1616859855,11.61,107.72,22550,208,457,8880E1,HAN,SGN,HVN221,-2176,B789,VN221
1616859789,11.74,107.79,25300,208,474,8880E1,HAN,SGN,HVN221,-3776,B789,VN221
1616859732,11.85,107.85,27800,208,490,8880E1,HAN,SGN,HVN221,-2816,B789,VN221
1616859670,11.98,107.92,30675,208,496,8880E1,HAN,SGN,HVN221,-2496,B789,VN221
1616859611,12.1,107.99,33600,208,497,8880E1,HAN,SGN,HVN221,-3392,B789,VN221
1616859550,12.22,108.06,37200,208,477,8880E1,HAN,SGN,HVN221,-3520,B789,VN221
1616859496,12.33,108.11,39375,193,473,8880E1,HAN,SGN,HVN221,-2560,B789,VN221
1616859435,12.46,108.12,40000,180,480,8880E1,HAN,SGN,HVN221,-64,B789,VN221
1616859379,12.59,108.12,40000,181,480,8880E1,HAN,SGN,HVN221,-64,B789,VN221
1616859316,12.73,108.12,39975,181,479,8880E1,HAN,SGN,HVN221,0,B789,VN221
1616859248,12.88,108.13,39975,181,478,8880E1,HAN,SGN,HVN221,0,B789,VN221
1616859194,13.0,108.13,40000,181,479,8880E1,HAN,SGN,HVN221,-64,B789,VN221
1616859139,13.12,108.13,39975,181,478,8880E1,HAN,SGN,HVN221,0,B789,VN221
1616859081,13.25,108.14,40000,181,478,8880E1,HAN,SGN,HVN221,0,B789,VN221
1616859024,13.37,108.14,39975,181,475,8880E1,HAN,SGN,HVN221,0,B789,VN221
1616858964,13.51,108.14,40000,181,474,8880E1,HAN,SGN,HVN221,-64,B789,VN221
1616858908,13.63,108.15,39975,181,476,8880E1,HAN,SGN,HVN221,-64,B789,VN221
1616858843,13.77,108.15,40000,181,477,8880E1,HAN,SGN,HVN221,0,B789,VN221
1616858780,13.91,108.15,40000,181,477,8880E1,HAN,SGN,HVN221,-64,B789,VN221
1616858724,14.04,108.15,39975,181,475,8880E1,HAN,SGN,HVN221,0,B789,VN221
1616858667,14.16,108.16,39975,181,476,8880E1,HAN,SGN,HVN221,0,B789,VN221
1616858604,14.3,108.16,40000,181,478,8880E1,HAN,SGN,HVN221,64,B789,VN221
1616858547,14.43,108.16,40000,181,481,8880E1,HAN,SGN,HVN221,0,B789,VN221
1616858486,14.56,108.17,40000,181,481,8880E1,HAN,SGN,HVN221,0,B789,VN221
