timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1619463225,10.82,106.66,0,182,9,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619463188,10.82,106.66,0,70,13,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619463128,10.81,106.65,0,67,13,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619463032,10.81,106.65,0,70,11,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619462962,10.81,106.64,0,67,10,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619462961,10.81,106.64,0,67,10,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619462881,10.81,106.64,0,67,9,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619462841,10.81,106.64,0,70,10,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619462768,10.81,106.64,0,247,4,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619462667,10.81,106.64,0,196,12,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619462607,10.82,106.64,0,247,59,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619462595,10.82,106.65,0,247,92,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619462532,10.83,106.69,600,248,154,780BF1,SZX,SGN,CSZ8011,-896,B738,ZH8011
1619462469,10.85,106.73,1425,249,149,780BF1,SZX,SGN,CSZ8011,-768,B738,ZH8011
1619462401,10.87,106.78,2300,249,169,780BF1,SZX,SGN,CSZ8011,-832,B738,ZH8011
1619462349,10.88,106.82,2850,243,187,780BF1,SZX,SGN,CSZ8011,-832,B738,ZH8011
1619462283,10.92,106.86,3975,226,198,780BF1,SZX,SGN,CSZ8011,-1088,B738,ZH8011
1619462225,10.96,106.9,4700,227,228,780BF1,SZX,SGN,CSZ8011,-320,B738,ZH8011
1619462169,11.0,106.95,5225,226,256,780BF1,SZX,SGN,CSZ8011,-1088,B738,ZH8011
1619462105,11.06,107.01,6325,226,272,780BF1,SZX,SGN,CSZ8011,-1088,B738,ZH8011
1619462040,11.11,107.07,7550,226,286,780BF1,SZX,SGN,CSZ8011,-1280,B738,ZH8011
1619461985,11.17,107.13,8650,226,296,780BF1,SZX,SGN,CSZ8011,-1280,B738,ZH8011
1619461933,11.22,107.18,9700,227,307,780BF1,SZX,SGN,CSZ8011,-1024,B738,ZH8011
1619461872,11.28,107.24,10725,226,314,780BF1,SZX,SGN,CSZ8011,-1088,B738,ZH8011
1619461808,11.34,107.32,11925,226,333,780BF1,SZX,SGN,CSZ8011,-1600,B738,ZH8011
1619461752,11.4,107.38,13350,226,346,780BF1,SZX,SGN,CSZ8011,-1664,B738,ZH8011
1619461691,11.47,107.46,14925,227,365,780BF1,SZX,SGN,CSZ8011,-1792,B738,ZH8011
1619461627,11.55,107.54,16975,226,374,780BF1,SZX,SGN,CSZ8011,-2112,B738,ZH8011
1619461567,11.61,107.62,18975,240,383,780BF1,SZX,SGN,CSZ8011,-2176,B738,ZH8011
1619461512,11.66,107.7,20825,239,389,780BF1,SZX,SGN,CSZ8011,-2240,B738,ZH8011
1619461452,11.72,107.8,22825,240,400,780BF1,SZX,SGN,CSZ8011,-2048,B738,ZH8011
1619461397,11.77,107.89,24675,240,411,780BF1,SZX,SGN,CSZ8011,-2176,B738,ZH8011
1619461332,11.83,108.0,26850,230,422,780BF1,SZX,SGN,CSZ8011,-2176,B738,ZH8011
1619461272,11.91,108.09,28900,231,435,780BF1,SZX,SGN,CSZ8011,-2240,B738,ZH8011
1619461211,11.99,108.19,31000,230,449,780BF1,SZX,SGN,CSZ8011,-2176,B738,ZH8011
1619461151,12.07,108.29,32000,230,455,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619461088,12.15,108.4,32000,231,454,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619461027,12.23,108.5,32000,230,456,780BF1,SZX,SGN,CSZ8011,-64,B738,ZH8011
1619460960,12.33,108.6,32000,225,456,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619460902,12.42,108.69,32000,225,456,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619460839,12.51,108.79,32000,224,454,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619460776,12.61,108.88,32000,224,453,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619460717,12.7,108.97,32000,224,453,780BF1,SZX,SGN,CSZ8011,64,B738,ZH8011
1619460656,12.79,109.06,32000,224,453,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619460599,12.87,109.15,32000,224,453,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619460544,12.96,109.23,32000,224,453,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619460481,13.05,109.33,32000,224,453,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619460417,13.15,109.42,32000,224,453,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619460352,13.24,109.52,32000,224,451,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619460296,13.33,109.59,32000,212,451,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619460233,13.45,109.67,32000,212,451,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619460167,13.56,109.74,32000,212,451,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619460109,13.67,109.81,32000,212,451,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1619460047,13.78,109.88,32000,212,449,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
