station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
VVTS,2012-08-01 00:00,106.6667,10.8167,78.80,73.40,83.55,230.00,5.00,0.00,29.74,M,6.21,M,SCT,BKN,M,M,1500.00,4000.00,M,M,M,M,M,M,M,M,M,82.03,VVTS 010000Z 23005KT 9999 SCT015 BKN040 26/23 Q1007 NOSIG,M
VVTS,2012-08-01 00:30,106.6667,10.8167,78.80,77.00,94.23,240.00,5.00,0.00,29.74,M,6.21,M,SCT,BKN,M,M,1500.00,4000.00,M,M,M,M,M,M,M,M,M,82.75,VVTS 010030Z 24005KT 9999 SCT015 BKN040 26/25 Q1007 NOSIG,M
VVTS,2012-08-01 01:00,106.6667,10.8167,82.40,78.80,88.90,230.00,11.00,0.00,29.74,M,6.21,M,SCT,SCT,M,M,1700.00,4000.00,M,M,M,M,M,M,M,M,M,92.40,VVTS 010100Z 23011KT 9999 SCT017 SCT040 28/26 Q1007 NOSIG,M
VVTS,2012-08-01 01:30,106.6667,10.8167,82.40,78.80,88.90,240.00,12.00,0.00,29.77,M,6.21,M,BKN,M,M,M,1700.00,M,M,M,M,M,M,M,M,M,M,92.40,VVTS 010130Z 24012KT 9999 BKN017 28/26 Q1008 NOSIG,M
VVTS,2012-08-01 02:00,106.6667,10.8167,82.40,78.80,88.90,230.00,14.00,0.00,29.77,M,6.21,M,BKN,M,M,M,1700.00,M,M,M,M,M,M,M,M,M,M,92.40,VVTS 010200Z 23014KT 9999 BKN017 28/26 Q1008 NOSIG,M
VVTS,2012-08-01 02:30,106.6667,10.8167,84.20,78.80,83.88,240.00,14.00,0.00,29.77,M,6.21,M,BKN,M,M,M,1700.00,M,M,M,M,M,M,M,M,M,M,96.10,VVTS 010230Z 24014KT 9999 BKN017 29/26 Q1008 NOSIG,M
VVTS,2012-08-01 03:00,106.6667,10.8167,86.00,77.00,74.61,250.00,13.00,0.00,29.74,M,6.21,M,SCT,BKN,M,M,1700.00,4000.00,M,M,M,M,M,M,M,M,M,97.15,VVTS 010300Z 25013KT 9999 SCT017 BKN040 30/25 Q1007 NOSIG,M
VVTS,2012-08-01 03:30,106.6667,10.8167,87.80,77.00,70.45,240.00,17.00,0.00,29.74,M,6.21,M,SCT,BKN,M,M,1700.00,4000.00,M,M,M,M,M,M,M,M,M,99.92,VVTS 010330Z 24017KT 9999 SCT017 BKN040 31/25 Q1007 NOSIG,M
VVTS,2012-08-01 04:00,106.6667,10.8167,87.80,77.00,70.45,230.00,19.00,0.00,29.74,M,6.21,M,SCT,BKN,M,M,1700.00,4000.00,M,M,M,M,M,M,M,M,M,99.92,VVTS 010400Z 23019KT 9999 SCT017 BKN040 31/25 Q1007 NOSIG,M
VVTS,2012-08-01 04:30,106.6667,10.8167,89.60,75.20,62.68,240.00,15.00,0.00,29.74,M,6.21,M,SCT,BKN,M,M,1700.00,4000.00,M,M,M,M,M,M,M,M,M,100.23,VVTS 010430Z 24015KT 9999 SCT017 BKN040 32/24 Q1007 NOSIG,M
