timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1610129283,10.81,106.65,0,157,0,88818F,HAN,SGN,BAV283,0,A21N,QH283
1610129267,10.81,106.65,0,157,0,88818F,HAN,SGN,BAV283,0,A21N,QH283
1610129123,10.81,106.65,0,163,10,88818F,HAN,SGN,BAV283,0,A21N,QH283
1610129093,10.82,106.65,0,216,11,88818F,HAN,SGN,BAV283,0,A21N,QH283
1610129031,10.82,106.66,150,249,123,88818F,HAN,SGN,BAV283,-64,A21N,QH283
1610128988,10.83,106.68,500,249,143,88818F,HAN,SGN,BAV283,-704,A21N,QH283
1610128929,10.84,106.72,1250,249,148,88818F,HAN,SGN,BAV283,-704,A21N,QH283
1610128869,10.86,106.76,2075,249,175,88818F,HAN,SGN,BAV283,-704,A21N,QH283
1610128804,10.88,106.82,2200,244,226,88818F,HAN,SGN,BAV283,-448,A21N,QH283
1610128738,10.93,106.88,3075,232,255,88818F,HAN,SGN,BAV283,-1664,A21N,QH283
1610128681,10.97,106.94,4250,233,263,88818F,HAN,SGN,BAV283,-832,A21N,QH283
1610128623,11.01,107.0,5200,233,286,88818F,HAN,SGN,BAV283,-1600,A21N,QH283
1610128552,11.07,107.08,6900,233,299,88818F,HAN,SGN,BAV283,-1856,A21N,QH283
1610128491,11.12,107.15,8375,233,310,88818F,HAN,SGN,BAV283,-1536,A21N,QH283
1610128430,11.17,107.22,9900,233,320,88818F,HAN,SGN,BAV283,-1472,A21N,QH283
1610128375,11.22,107.29,10750,233,354,88818F,HAN,SGN,BAV283,-832,A21N,QH283
1610128314,11.29,107.38,11750,233,404,88818F,HAN,SGN,BAV283,-1216,A21N,QH283
1610128247,11.36,107.48,14675,233,422,88818F,HAN,SGN,BAV283,-2880,A21N,QH283
1610128196,11.42,107.56,17250,224,427,88818F,HAN,SGN,BAV283,-4672,A21N,QH283
1610128135,11.53,107.62,20425,203,425,88818F,HAN,SGN,BAV283,-2432,A21N,QH283
1610128074,11.64,107.67,22800,204,441,88818F,HAN,SGN,BAV283,-2368,A21N,QH283
1610128006,11.77,107.73,25600,204,461,88818F,HAN,SGN,BAV283,-2496,A21N,QH283
1610127948,11.88,107.78,28000,203,475,88818F,HAN,SGN,BAV283,-2944,A21N,QH283
1610127889,12.0,107.84,30725,204,470,88818F,HAN,SGN,BAV283,-1408,A21N,QH283
1610127829,12.12,107.89,31700,204,468,88818F,HAN,SGN,BAV283,-896,A21N,QH283
1610127761,12.26,107.95,32775,204,469,88818F,HAN,SGN,BAV283,-1024,A21N,QH283
1610127703,12.37,108.0,33725,204,461,88818F,HAN,SGN,BAV283,-896,A21N,QH283
1610127639,12.5,108.06,34750,203,454,88818F,HAN,SGN,BAV283,-896,A21N,QH283
1610127577,12.62,108.11,35725,195,450,88818F,HAN,SGN,BAV283,-1024,A21N,QH283
1610127520,12.74,108.12,36025,181,449,88818F,HAN,SGN,BAV283,0,A21N,QH283
1610127465,12.85,108.13,36025,181,451,88818F,HAN,SGN,BAV283,-64,A21N,QH283
1610127412,12.96,108.13,36000,181,451,88818F,HAN,SGN,BAV283,0,A21N,QH283
1610127352,13.09,108.13,36000,181,450,88818F,HAN,SGN,BAV283,0,A21N,QH283
1610127292,13.21,108.14,36000,181,450,88818F,HAN,SGN,BAV283,64,A21N,QH283
