timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1612382914,10.81,106.64,0,101,11,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612382881,10.81,106.64,0,160,15,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612382813,10.82,106.64,0,219,15,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612382764,10.82,106.65,25,248,130,86EFB0,NRT,SGN,ANA833,-128,B789,NH833
1612382709,10.83,106.69,600,249,153,86EFB0,NRT,SGN,ANA833,-896,B789,NH833
1612382648,10.85,106.73,1425,249,159,86EFB0,NRT,SGN,ANA833,-960,B789,NH833
1612382593,10.86,106.77,2025,249,172,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612382532,10.88,106.82,2125,249,194,86EFB0,NRT,SGN,ANA833,-1088,B789,NH833
1612382473,10.9,106.87,3025,249,204,86EFB0,NRT,SGN,ANA833,-1024,B789,NH833
1612382413,10.92,106.93,3725,249,222,86EFB0,NRT,SGN,ANA833,-512,B789,NH833
1612382351,10.95,106.99,4375,249,250,86EFB0,NRT,SGN,ANA833,-832,B789,NH833
1612382294,10.97,107.06,4975,249,279,86EFB0,NRT,SGN,ANA833,-832,B789,NH833
1612382230,11.0,107.14,5700,249,316,86EFB0,NRT,SGN,ANA833,-832,B789,NH833
1612382173,11.03,107.23,6325,249,363,86EFB0,NRT,SGN,ANA833,-512,B789,NH833
1612382117,11.07,107.32,8200,249,383,86EFB0,NRT,SGN,ANA833,-2624,B789,NH833
1612382056,11.11,107.42,10500,245,396,86EFB0,NRT,SGN,ANA833,-2688,B789,NH833
1612382004,11.15,107.51,12775,245,398,86EFB0,NRT,SGN,ANA833,-2496,B789,NH833
1612381938,11.2,107.63,15175,245,420,86EFB0,NRT,SGN,ANA833,-2368,B789,NH833
1612381878,11.25,107.74,17475,245,435,86EFB0,NRT,SGN,ANA833,-2560,B789,NH833
1612381810,11.31,107.86,20075,245,449,86EFB0,NRT,SGN,ANA833,-2688,B789,NH833
1612381757,11.35,107.97,22200,245,459,86EFB0,NRT,SGN,ANA833,-2048,B789,NH833
1612381694,11.41,108.09,24400,245,474,86EFB0,NRT,SGN,ANA833,-2176,B789,NH833
1612381632,11.47,108.22,26425,245,457,86EFB0,NRT,SGN,ANA833,-2048,B789,NH833
1612381570,11.53,108.34,28000,241,476,86EFB0,NRT,SGN,ANA833,-1920,B789,NH833
1612381515,11.59,108.46,30975,247,495,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612381447,11.66,108.59,32575,241,505,86EFB0,NRT,SGN,ANA833,-2496,B789,NH833
1612381389,11.72,108.71,35475,241,500,86EFB0,NRT,SGN,ANA833,-3968,B789,NH833
1612381326,11.79,108.84,37575,241,479,86EFB0,NRT,SGN,ANA833,-1280,B789,NH833
1612381267,11.86,108.96,38000,246,471,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612381204,11.92,109.08,38000,241,472,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612381141,11.98,109.2,38000,241,473,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1612381074,12.06,109.33,38000,241,474,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612381025,12.11,109.43,37975,241,473,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1612380952,12.18,109.57,37975,241,473,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1612380905,12.23,109.67,38000,241,472,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1612380823,12.32,109.83,37975,241,472,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612380780,12.36,109.91,37975,241,472,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1612380725,12.42,110.02,38000,241,471,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612380663,12.48,110.14,38000,241,472,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1612380608,12.54,110.25,38000,241,472,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612380542,12.61,110.38,37975,241,472,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1612380494,12.66,110.48,38000,241,471,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612380433,12.72,110.59,37975,241,470,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612380375,12.78,110.71,38000,245,469,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612380318,12.84,110.82,37975,242,470,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612380253,12.9,110.95,38000,242,472,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1612380191,12.97,111.08,37975,245,471,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612380114,13.05,111.22,37975,242,471,86EFB0,NRT,SGN,ANA833,-64,B789,NH833
1612380073,13.09,111.3,37975,242,470,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612380011,13.17,111.45,38000,244,469,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612379951,13.22,111.55,38000,244,469,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612379894,13.27,111.66,38000,242,469,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612379835,13.35,111.81,37975,244,468,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612379775,13.4,111.91,37975,244,468,86EFB0,NRT,SGN,ANA833,0,B789,NH833
1612379712,13.45,112.01,37975,242,468,86EFB0,NRT,SGN,ANA833,0,B789,NH833
