timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1616348393,10.82,106.66,0,185,7,78063A,PVG,SGN,CCA609,0,A333,CA609
1616348337,10.82,106.66,0,70,12,78063A,PVG,SGN,CCA609,0,A333,CA609
1616348277,10.81,106.65,0,70,17,78063A,PVG,SGN,CCA609,0,A333,CA609
1616348169,10.81,106.65,0,95,11,78063A,PVG,SGN,CCA609,0,A333,CA609
1616348127,10.81,106.64,0,149,9,78063A,PVG,SGN,CCA609,0,A333,CA609
1616348089,10.81,106.64,0,160,15,78063A,PVG,SGN,CCA609,0,A333,CA609
1616348009,10.82,106.64,0,247,9,78063A,PVG,SGN,CCA609,0,A333,CA609
1616347973,10.82,106.66,100,248,145,78063A,PVG,SGN,CCA609,-192,A333,CA609
1616347914,10.84,106.7,800,249,147,78063A,PVG,SGN,CCA609,-768,A333,CA609
1616347860,10.85,106.73,1450,249,155,78063A,PVG,SGN,CCA609,-896,A333,CA609
1616347796,10.87,106.78,2375,249,177,78063A,PVG,SGN,CCA609,-832,A333,CA609
1616347736,10.89,106.83,3325,249,205,78063A,PVG,SGN,CCA609,-448,A333,CA609
1616347679,10.91,106.88,4625,248,219,78063A,PVG,SGN,CCA609,-1600,A333,CA609
1616347610,10.92,106.96,5525,255,250,78063A,PVG,SGN,CCA609,-320,A333,CA609
1616347550,10.94,107.03,5975,255,276,78063A,PVG,SGN,CCA609,-768,A333,CA609
1616347492,10.96,107.11,6525,255,300,78063A,PVG,SGN,CCA609,-896,A333,CA609
1616347414,10.98,107.21,7725,255,317,78063A,PVG,SGN,CCA609,-1152,A333,CA609
1616347364,11.0,107.29,8675,255,322,78063A,PVG,SGN,CCA609,-1280,A333,CA609
1616347301,11.03,107.38,10000,255,321,78063A,PVG,SGN,CCA609,-1280,A333,CA609
1616347238,11.05,107.47,11300,255,325,78063A,PVG,SGN,CCA609,-960,A333,CA609
1616347175,11.07,107.57,11975,256,359,78063A,PVG,SGN,CCA609,-1408,A333,CA609
1616347114,11.1,107.68,13400,253,371,78063A,PVG,SGN,CCA609,-1280,A333,CA609
1616347059,11.13,107.77,14975,253,390,78063A,PVG,SGN,CCA609,-1984,A333,CA609
1616346995,11.16,107.88,16900,253,414,78063A,PVG,SGN,CCA609,-2176,A333,CA609
1616346938,11.19,107.99,18875,253,419,78063A,PVG,SGN,CCA609,-1856,A333,CA609
1616346875,11.23,108.11,21250,253,422,78063A,PVG,SGN,CCA609,-2560,A333,CA609
1616346812,11.26,108.23,23125,253,439,78063A,PVG,SGN,CCA609,-2176,A333,CA609
1616346758,11.32,108.32,25075,213,439,78063A,PVG,SGN,CCA609,-1472,A333,CA609
1616346698,11.43,108.39,26625,211,450,78063A,PVG,SGN,CCA609,-1472,A333,CA609
1616346641,11.53,108.45,28025,211,454,78063A,PVG,SGN,CCA609,-1472,A333,CA609
1616346581,11.64,108.52,29525,211,462,78063A,PVG,SGN,CCA609,-1472,A333,CA609
1616346524,11.74,108.58,31000,211,470,78063A,PVG,SGN,CCA609,-1728,A333,CA609
1616346458,11.87,108.67,33550,211,458,78063A,PVG,SGN,CCA609,-1728,A333,CA609
1616346398,11.98,108.73,35300,211,454,78063A,PVG,SGN,CCA609,-1664,A333,CA609
1616346342,12.09,108.81,36000,211,460,78063A,PVG,SGN,CCA609,64,A333,CA609
1616346278,12.19,108.87,36000,211,460,78063A,PVG,SGN,CCA609,64,A333,CA609
1616346220,12.3,108.93,36000,211,460,78063A,PVG,SGN,CCA609,0,A333,CA609
1616346160,12.4,109.0,36000,211,457,78063A,PVG,SGN,CCA609,0,A333,CA609
1616346105,12.5,109.06,36000,211,455,78063A,PVG,SGN,CCA609,0,A333,CA609
1616346040,12.62,109.14,36000,213,456,78063A,PVG,SGN,CCA609,0,A333,CA609
1616345984,12.72,109.21,36000,214,459,78063A,PVG,SGN,CCA609,0,A333,CA609
1616345921,12.83,109.28,36000,214,460,78063A,PVG,SGN,CCA609,0,A333,CA609
1616345865,12.93,109.35,36000,214,459,78063A,PVG,SGN,CCA609,0,A333,CA609
1616345800,13.04,109.43,36000,214,460,78063A,PVG,SGN,CCA609,0,A333,CA609
1616345744,13.14,109.5,36000,214,460,78063A,PVG,SGN,CCA609,0,A333,CA609
1616345684,13.25,109.57,36000,214,460,78063A,PVG,SGN,CCA609,0,A333,CA609
1616345607,13.39,109.67,36000,214,462,78063A,PVG,SGN,CCA609,0,A333,CA609
1616345554,13.48,109.73,36000,214,465,78063A,PVG,SGN,CCA609,0,A333,CA609
1616345485,13.6,109.82,36000,214,465,78063A,PVG,SGN,CCA609,0,A333,CA609
1616345429,13.7,109.89,36000,214,465,78063A,PVG,SGN,CCA609,0,A333,CA609
1616345366,13.82,109.97,36000,214,465,78063A,PVG,SGN,CCA609,0,A333,CA609
1616345315,13.91,110.03,36000,214,466,78063A,PVG,SGN,CCA609,-64,A333,CA609
1616345246,14.03,110.12,36000,214,466,78063A,PVG,SGN,CCA609,0,A333,CA609
1616345194,14.12,110.18,36000,214,464,78063A,PVG,SGN,CCA609,0,A333,CA609
1616345134,14.29,110.3,36000,214,453,78063A,PVG,SGN,CCA609,0,A333,CA609
1616345074,14.38,110.36,36000,214,453,78063A,PVG,SGN,CCA609,0,A333,CA609
1616345014,14.46,110.42,36000,214,453,78063A,PVG,SGN,CCA609,0,A333,CA609
1616344954,14.55,110.48,36000,214,453,78063A,PVG,SGN,CCA609,0,A333,CA609
1616344884,14.66,110.56,36000,214,451,78063A,PVG,SGN,CCA609,0,A333,CA609
1616344829,14.76,110.63,36000,214,452,78063A,PVG,SGN,CCA609,0,A333,CA609
1616344766,14.87,110.71,36000,214,456,78063A,PVG,SGN,CCA609,64,A333,CA609
1616344707,14.97,110.78,36000,214,457,78063A,PVG,SGN,,0,A333,CA609
1616342850,18.39,113.03,36000,192,457,78063A,PVG,SGN,CCA609,-64,A333,CA609
1616342778,18.54,113.07,36000,192,457,78063A,PVG,SGN,CCA609,-64,A333,CA609
1616342730,18.64,113.09,36000,192,457,78063A,PVG,SGN,CCA609,-64,A333,CA609
1616342670,18.76,113.12,36000,192,457,78063A,PVG,SGN,CCA609,-64,A333,CA609
1616342610,18.89,113.14,36000,192,457,78063A,PVG,SGN,CCA609,-64,A333,CA609
1616342550,19.01,113.17,36000,192,457,78063A,PVG,SGN,CCA609,-64,A333,CA609
1616342490,19.12,113.19,36000,192,457,78063A,PVG,SGN,CCA609,-64,A333,CA609
1616342430,19.22,113.22,36000,192,457,78063A,PVG,SGN,CCA609,-64,A333,CA609
1616342370,19.33,113.24,36000,192,457,78063A,PVG,SGN,CCA609,-64,A333,CA609
1616342310,19.48,113.27,28400,192,457,78063A,PVG,SGN,CCA609,-64,A333,CA609
1616342250,19.56,113.29,36000,190,456,78063A,PVG,SGN,CCA609,0,A333,CA609
1616342190,19.68,113.32,36000,190,456,78063A,PVG,SGN,CCA609,0,A333,CA609
1616342116,19.82,113.35,36000,190,456,78063A,PVG,SGN,CCA609,0,A333,CA609
1616342060,19.94,113.37,36000,190,457,78063A,PVG,SGN,CCA609,0,A333,CA609
1616341998,20.07,113.4,36001,193,460,78063A,PVG,SGN,CCA609,0,A333,CA609
1616341948,20.17,113.42,36000,190,459,78063A,PVG,SGN,CCA609,0,A333,CA609
1616341892,20.29,113.44,36000,190,459,78063A,PVG,SGN,CCA609,0,A333,CA609
1616341826,20.43,113.47,36000,190,459,78063A,PVG,SGN,CCA609,0,A333,CA609
1616341748,20.59,113.5,36000,190,459,78063A,PVG,SGN,CCA609,0,A333,CA609
1616341703,20.68,113.52,36000,190,457,78063A,PVG,SGN,CCA609,0,A333,CA609
1616341648,20.8,113.54,36000,190,457,78063A,PVG,SGN,CCA609,0,A333,CA609
1616341591,20.92,113.57,36000,190,458,78063A,PVG,SGN,CCA609,0,A333,CA609
1616341513,21.08,113.6,36001,191,460,78063A,PVG,SGN,CCA609,0,A333,CA609
1616341471,21.17,113.62,36000,190,459,78063A,PVG,SGN,CCA609,-64,A333,CA609
1616341408,21.3,113.65,36000,190,459,78063A,PVG,SGN,CCA609,0,A333,CA609
1616341357,21.41,113.67,36000,190,457,78063A,PVG,SGN,CCA609,0,A333,CA609
1616341291,21.54,113.7,36000,190,456,78063A,PVG,SGN,CCA609,0,A333,CA609
1616341230,21.67,113.72,36000,190,453,78063A,PVG,SGN,CCA609,0,A333,CA609
1616341176,21.78,113.75,36000,190,453,78063A,PVG,SGN,CCA609,-64,A333,CA609
1616341111,21.91,113.77,36100,190,453,78063A,PVG,SGN,CCA609,0,A333,CA609
1616341057,22.03,113.8,36100,190,452,78063A,PVG,SGN,CCA609,0,A333,CA609
1616340993,22.16,113.82,36100,190,454,78063A,PVG,SGN,CCA609,0,A333,CA609
1616340935,22.28,113.85,36100,191,450,78063A,PVG,SGN,CCA609,0,A333,CA609
1616340868,22.42,113.87,36100,180,460,78063A,PVG,SGN,CCA609,-64,A333,CA609
1616340817,22.53,113.87,36100,180,458,78063A,PVG,SGN,CCA609,64,A333,CA609
1616340764,22.64,113.87,36100,180,457,78063A,PVG,SGN,CCA609,-64,A333,CA609
1616340699,22.78,113.87,36100,180,456,78063A,PVG,SGN,CCA609,0,A333,CA609
1616340645,22.89,113.87,36100,180,457,78063A,PVG,SGN,CCA609,0,A333,CA609
1616340589,23.01,113.87,36100,180,457,78063A,PVG,SGN,CCA609,0,A333,CA609
1616340524,23.15,113.88,36100,180,453,78063A,PVG,SGN,CCA609,64,A333,CA609
1616340470,23.26,113.88,36100,180,453,78063A,PVG,SGN,CCA609,0,A333,CA609
1616340404,23.4,113.88,36100,180,453,78063A,PVG,SGN,CCA609,0,A333,CA609
1616340349,23.51,113.88,36100,180,454,78063A,PVG,SGN,CCA609,0,A333,CA609
1616340280,23.66,113.88,36100,193,434,78063A,PVG,SGN,CCA609,0,A333,CA609
1616340218,23.76,113.95,36100,216,411,78063A,PVG,SGN,CCA609,0,A333,CA609
1616340172,23.83,114.0,36100,216,412,78063A,PVG,SGN,CCA609,0,A333,CA609
1616340113,23.92,114.08,36100,216,412,78063A,PVG,SGN,CCA609,64,A333,CA609
1616340042,24.03,114.16,36100,216,410,78063A,PVG,SGN,CCA609,0,A333,CA609
1616339985,24.12,114.23,36100,216,407,78063A,PVG,SGN,CCA609,0,A333,CA609
1616339924,24.21,114.31,36100,216,406,78063A,PVG,SGN,CCA609,0,A333,CA609
1616339859,24.31,114.39,36100,209,411,78063A,PVG,SGN,CCA609,0,A333,CA609
1616339795,24.42,114.44,36100,196,429,78063A,PVG,SGN,CCA609,0,A333,CA609
1616339743,24.53,114.46,36100,192,434,78063A,PVG,SGN,CCA609,0,A333,CA609
1616339677,24.66,114.5,36100,192,433,78063A,PVG,SGN,CCA609,0,A333,CA609
1616339614,24.78,114.53,36099,193,433,78063A,PVG,SGN,CCA609,0,A333,CA609
1616339554,24.95,114.57,36099,193,427,78063A,PVG,SGN,CCA609,0,A333,CA609
1616339496,25.05,114.59,36099,193,425,78063A,PVG,SGN,CCA609,0,A333,CA609
1616339437,25.13,114.61,36099,192,419,78063A,PVG,SGN,CCA609,0,A333,CA609
1616339372,25.25,114.64,36099,192,416,78063A,PVG,SGN,CCA609,0,A333,CA609
1616339304,25.38,114.67,36099,192,412,78063A,PVG,SGN,CCA609,0,A333,CA609
1616339240,25.5,114.7,36099,192,416,78063A,PVG,SGN,CCA609,0,A333,CA609
1616339202,25.59,114.73,36099,192,400,78063A,PVG,SGN,CCA609,0,A333,CA609
1616339126,25.72,114.76,36099,195,390,78063A,PVG,SGN,CCA609,0,A333,CA609
1616339082,25.82,114.79,36099,213,381,78063A,PVG,SGN,CCA609,0,A333,CA609
1616339012,25.91,114.87,36099,220,377,78063A,PVG,SGN,CCA609,0,A333,CA609
1616338955,25.98,114.95,36099,227,376,78063A,PVG,SGN,CCA609,0,A333,CA609
1616338910,26.04,115.02,36099,227,374,78063A,PVG,SGN,CCA609,0,A333,CA609
1616338850,26.11,115.11,36099,227,374,78063A,PVG,SGN,CCA609,0,A333,CA609
1616338794,26.19,115.19,36099,228,372,78063A,PVG,SGN,CCA609,0,A333,CA609
1616338734,26.25,115.27,36099,227,371,78063A,PVG,SGN,CCA609,0,A333,CA609
1616338664,26.33,115.36,36099,228,372,78063A,PVG,SGN,CCA609,0,A333,CA609
1616338609,26.39,115.44,36100,227,375,78063A,PVG,SGN,CCA609,0,A333,CA609
1616338546,26.46,115.53,36100,227,374,78063A,PVG,SGN,CCA609,0,A333,CA609
1616338489,26.53,115.61,36100,227,372,78063A,PVG,SGN,CCA609,0,A333,CA609
1616338431,26.6,115.69,36100,226,373,78063A,PVG,SGN,CCA609,0,A333,CA609
1616338378,26.66,115.76,36100,227,374,78063A,PVG,SGN,CCA609,0,A333,CA609
1616338314,26.74,115.85,36100,227,372,78063A,PVG,SGN,CCA609,0,A333,CA609
1616338263,26.8,115.93,36100,227,372,78063A,PVG,SGN,CCA609,0,A333,CA609
1616338186,26.89,116.04,36099,228,370,78063A,PVG,SGN,CCA609,0,A333,CA609
1616338143,26.94,116.1,36100,227,373,78063A,PVG,SGN,CCA609,0,A333,CA609
1616338088,27.0,116.17,36100,227,372,78063A,PVG,SGN,CCA609,0,A333,CA609
1616338025,27.08,116.26,36100,227,372,78063A,PVG,SGN,CCA609,0,A333,CA609
1616337962,27.15,116.35,36100,227,372,78063A,PVG,SGN,CCA609,0,A333,CA609
1616337899,27.22,116.44,36100,227,372,78063A,PVG,SGN,CCA609,0,A333,CA609
1616337850,27.28,116.51,36100,226,372,78063A,PVG,SGN,CCA609,0,A333,CA609
1616337790,27.35,116.59,36100,226,369,78063A,PVG,SGN,CCA609,0,A333,CA609
1616337733,27.42,116.67,36100,226,369,78063A,PVG,SGN,CCA609,0,A333,CA609
1616337676,27.49,116.75,36100,226,367,78063A,PVG,SGN,CCA609,0,A333,CA609
1616337610,27.57,116.84,36100,225,367,78063A,PVG,SGN,CCA609,0,A333,CA609
1616337546,27.64,116.93,36100,225,367,78063A,PVG,SGN,CCA609,0,A333,CA609
1616337486,27.71,117.01,36100,225,367,78063A,PVG,SGN,CCA609,0,A333,CA609
1616337423,27.79,117.1,36100,225,366,78063A,PVG,SGN,CCA609,0,A333,CA609
1616337368,27.85,117.17,36100,225,364,78063A,PVG,SGN,CCA609,0,A333,CA609
1616337302,27.93,117.26,36100,226,364,78063A,PVG,SGN,CCA609,0,A333,CA609
1616337233,28.01,117.36,36100,226,364,78063A,PVG,SGN,CCA609,0,A333,CA609
1616337185,28.07,117.42,36100,226,364,78063A,PVG,SGN,CCA609,0,A333,CA609
1616337130,28.13,117.5,36100,226,364,78063A,PVG,SGN,CCA609,0,A333,CA609
1616337074,28.2,117.58,36100,226,364,78063A,PVG,SGN,CCA609,0,A333,CA609
1616337010,28.27,117.66,36100,226,363,78063A,PVG,SGN,CCA609,0,A333,CA609
1616336954,28.32,117.77,36100,225,362,78063A,PVG,SGN,CCA609,0,A333,CA609
1616336890,28.38,117.85,36100,225,362,78063A,PVG,SGN,CCA609,0,A333,CA609
1616336827,28.46,117.93,36099,227,358,78063A,PVG,SGN,CCA609,0,A333,CA609
