timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1616781119,10.82,106.66,0,275,1,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616781086,10.82,106.66,0,227,9,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616781028,10.82,106.66,0,67,10,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616780958,10.82,106.66,0,67,23,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616780900,10.81,106.65,0,70,18,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616780843,10.81,106.65,0,98,11,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616780790,10.81,106.64,0,160,14,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616780734,10.82,106.64,0,219,10,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616780669,10.82,106.66,175,249,150,78009D,PVG,SGN,CES7053,-768,A333,MU7053
1616780614,10.84,106.7,875,249,157,78009D,PVG,SGN,CES7053,-704,A333,MU7053
1616780553,10.86,106.75,1775,249,195,78009D,PVG,SGN,CES7053,-832,A333,MU7053
1616780498,10.87,106.8,2400,248,222,78009D,PVG,SGN,CES7053,-448,A333,MU7053
1616780437,10.9,106.86,3450,246,238,78009D,PVG,SGN,CES7053,-1280,A333,MU7053
1616780374,10.93,106.93,4200,246,280,78009D,PVG,SGN,CES7053,-320,A333,MU7053
1616780309,10.97,107.01,5250,246,289,78009D,PVG,SGN,CES7053,-1088,A333,MU7053
1616780250,11.0,107.08,6350,246,294,78009D,PVG,SGN,CES7053,-1216,A333,MU7053
1616780194,11.03,107.15,7400,246,296,78009D,PVG,SGN,CES7053,-1024,A333,MU7053
1616780133,11.06,107.23,8375,246,309,78009D,PVG,SGN,CES7053,-1088,A333,MU7053
1616780069,11.1,107.32,9675,246,311,78009D,PVG,SGN,CES7053,-1024,A333,MU7053
1616780010,11.14,107.4,10500,246,330,78009D,PVG,SGN,CES7053,-384,A333,MU7053
1616779951,11.18,107.49,11000,246,369,78009D,PVG,SGN,CES7053,-896,A333,MU7053
1616779893,11.22,107.58,11375,246,367,78009D,PVG,SGN,CES7053,-1088,A333,MU7053
1616779834,11.26,107.67,13000,229,368,78009D,PVG,SGN,CES7053,-1472,A333,MU7053
1616779774,11.33,107.75,14700,228,376,78009D,PVG,SGN,CES7053,-1856,A333,MU7053
1616779710,11.4,107.83,16650,228,381,78009D,PVG,SGN,CES7053,-1664,A333,MU7053
1616779650,11.48,107.92,18350,228,393,78009D,PVG,SGN,CES7053,-256,A333,MU7053
1616779587,11.55,108.0,19825,226,412,78009D,PVG,SGN,CES7053,-1344,A333,MU7053
1616779529,11.63,108.09,21575,226,422,78009D,PVG,SGN,CES7053,-1984,A333,MU7053
1616779468,11.71,108.18,23650,227,429,78009D,PVG,SGN,CES7053,-1984,A333,MU7053
1616779416,11.79,108.25,25225,226,442,78009D,PVG,SGN,CES7053,-1920,A333,MU7053
1616779353,11.88,108.35,27225,225,460,78009D,PVG,SGN,CES7053,-2240,A333,MU7053
1616779287,11.98,108.45,29475,224,475,78009D,PVG,SGN,CES7053,-1792,A333,MU7053
1616779229,12.07,108.55,31600,225,486,78009D,PVG,SGN,CES7053,-2176,A333,MU7053
1616779168,12.16,108.65,34375,226,484,78009D,PVG,SGN,CES7053,-3264,A333,MU7053
1616779106,12.26,108.75,36000,225,480,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616779046,12.35,108.85,36000,226,480,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616778990,12.44,108.94,36000,226,480,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616778931,12.53,109.04,36000,226,480,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616778865,12.63,109.14,36000,219,477,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616778812,12.73,109.21,36000,211,475,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616778748,12.85,109.29,36000,212,476,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616778689,12.96,109.36,36000,211,475,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616778633,13.07,109.42,36000,211,475,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616778569,13.19,109.5,36000,211,476,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616778508,13.3,109.57,36000,212,477,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616778453,13.41,109.64,36000,212,477,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616778394,13.52,109.71,36000,212,476,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616778337,13.62,109.78,36000,212,478,78009D,PVG,SGN,CES7053,-64,A333,MU7053
1616778274,13.74,109.86,36000,212,475,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616778210,13.86,109.93,36000,212,474,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616778153,13.97,110.0,36000,215,475,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616778092,14.08,110.08,36000,216,475,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616778030,14.19,110.17,36000,216,477,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616777952,14.33,110.27,36000,216,475,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616777909,14.4,110.33,36000,216,475,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616777851,14.51,110.4,36000,216,476,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616777797,14.6,110.48,36000,216,475,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616777741,14.7,110.55,36000,216,474,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616777682,14.81,110.63,36000,216,472,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616777618,14.92,110.72,36000,216,472,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616777556,15.03,110.8,36000,216,474,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616777484,15.16,110.9,36000,216,472,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616777439,15.29,111.01,36000,215,472,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616777379,15.38,111.07,36000,215,472,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616777319,15.48,111.14,36000,215,472,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616777259,15.57,111.21,36000,215,472,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616777194,15.67,111.28,36000,215,472,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616777135,15.83,111.41,36000,215,470,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616777075,15.92,111.48,36000,215,470,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616777027,16.0,111.53,36000,215,470,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616776967,16.09,111.6,36000,215,470,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616776906,16.18,111.66,36000,215,470,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616776831,16.4,111.81,36000,217,470,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616776795,16.47,111.86,36000,217,470,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616776735,16.57,111.94,36000,217,470,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616776675,16.67,112.02,36000,217,470,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616776615,16.78,112.11,36000,217,470,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616776555,16.88,112.19,36000,217,470,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616776495,16.98,112.26,36000,217,470,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616776435,17.07,112.33,36000,217,470,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616776375,17.8,112.88,36000,195,473,78009D,PVG,SGN,CES7053,0,A333,MU7053
1616776315,17.92,112.91,36000,195,473,78009D,PVG,SGN,CES7053,0,A333,MU7053
