valid,metar
2012-01-01 00:00:00,VVTS 010000Z 08003KT 9999 FEW017 BKN040 24/22 Q1013 NOSIG
2012-01-01 00:30:00,VVTS 010030Z VRB03KT 9999 FEW017 BKN040 24/22 Q1013 NOSIG
2012-01-01 01:00:00,VVTS 010100Z 10003KT 9999 FEW017 BKN040 25/22 Q1014 NOSIG
2012-01-01 01:30:00,VVTS 010130Z 09004KT 050V120 9999 FEW017 BKN040 26/22 Q1014 NOSIG
2012-01-01 02:00:00,VVTS 010200Z VRB03KT 9999 FEW017 BKN040 26/22 Q1014 NOSIG
2012-01-01 02:30:00,VVTS 010230Z VRB02KT 9999 FEW017 BKN040 27/22 Q1013 NOSIG
2012-01-01 03:00:00,VVTS 010300Z VRB03KT 9999 FEW017 BKN040 28/22 Q1013 NOSIG
2012-01-01 03:30:00,VVTS 010330Z 04004KT 350V090 9999 FEW017 BKN040 29/21 Q1013 NOSIG
2012-01-01 04:00:00,VVTS 010400Z 09004KT 030V130 9999 FEW017 BKN040 30/21 Q1013 NOSIG
2012-01-01 04:30:00,VVTS 010430Z VRB02KT 9999 FEW017 BKN040 30/21 Q1012 NOSIG
2012-01-01 05:00:00,VVTS 010500Z 07004KT 010V140 9999 FEW017 BKN040 31/20 Q1012 NOSIG
2012-01-01 05:30:00,VVTS 010530Z VRB02KT 9999 SCT017 BKN040 31/20 Q1011 NOSIG
2012-01-01 06:00:00,VVTS 010600Z VRB02KT 9999 FEW017 BKN040 31/21 Q1011 NOSIG
2012-01-01 06:30:00,VVTS 010630Z 03005KT 360V080 9999 FEW017 BKN040 31/20 Q1010 NOSIG
2012-01-01 07:00:00,VVTS 010700Z VRB03KT 9999 FEW017 BKN040 31/21 Q1010 NOSIG
2012-01-01 07:30:00,VVTS 010730Z VRB02KT 9999 FEW017 BKN040 31/21 Q1010 NOSIG
2012-01-01 08:00:00,VVTS 010800Z VRB02KT 9999 SCT017 BKN040 31/21 Q1010 NOSIG
2012-01-01 08:30:00,VVTS 010830Z 16006KT 140V210 9999 SCT017 BKN040 30/21 Q1010 NOSIG
2012-01-01 09:00:00,VVTS 010900Z NIL
2012-01-01 09:30:00,VVTS 010930Z 18006KT 140V210 9999 FEW015TCU SCT017 BKN040 29/23 Q1010 NOSIG
2012-01-01 10:00:00,VVTS 011000Z 18007KT 9999 SCT017 BKN040 28/23 Q1010 NOSIG
2012-01-01 10:30:00,VVTS 011030Z 16007KT 9999 FEW017 BKN040 28/23 Q1010 NOSIG
2012-01-01 11:00:00,VVTS 011100Z 15004KT 130V200 9999 FEW017 BKN040 28/22 Q1011 NOSIG
2012-01-01 11:30:00,VVTS 011130Z 13005KT 9999 FEW017 BKN040 28/22 Q1011 NOSIG
2012-01-01 12:00:00,VVTS 011200Z 12005KT 9999 FEW017 SCT040 27/22 Q1011 NOSIG
2012-01-01 12:30:00,VVTS 011230Z 12004KT 100V190 9999 FEW017 SCT040 27/22 Q1012 NOSIG
2012-01-01 13:00:00,VVTS 011300Z 12005KT 100V180 9999 FEW017 SCT040 27/22 Q1012 NOSIG
2012-01-01 13:30:00,VVTS 011330Z VRB03KT 9999 FEW017 SCT040 26/22 Q1012 NOSIG
2012-01-01 14:00:00,VVTS 011400Z VRB02KT 9999 FEW017 SCT040 26/22 Q1012 NOSIG
2012-01-01 14:30:00,VVTS 011430Z 10004KT 9999 FEW017 SCT040 26/22 Q1012 NOSIG
2012-01-01 15:00:00,VVTS 011500Z 10006KT 9999 FEW017 SCT040 26/22 Q1012 NOSIG
2012-01-01 15:30:00,VVTS 011530Z 09006KT 9999 FEW017 SCT040 26/22 Q1012 NOSIG
2012-01-01 16:00:00,VVTS 011600Z 10005KT 9999 FEW017 SCT040 25/22 Q1012 NOSIG
2012-01-01 16:30:00,VVTS 011630Z 10005KT 9999 FEW017 SCT040 25/22 Q1011 NOSIG
2012-01-01 17:00:00,VVTS 011700Z 10006KT 080V170 9999 FEW017 SCT040 25/22 Q1011 NOSIG
2012-01-01 17:30:00,VVTS 011730Z 08005KT 9999 FEW017 SCT040 24/22 Q1011 NOSIG
2012-01-01 18:00:00,VVTS 011800Z 11006KT 9999 FEW017 SCT040 24/22 Q1011 NOSIG
2012-01-01 18:30:00,VVTS 011830Z 10005KT 9999 FEW017 SCT040 24/22 Q1011 NOSIG
2012-01-01 19:00:00,VVTS 011900Z 13005KT 9999 FEW017 SCT040 24/22 Q1011 NOSIG
2012-01-01 19:30:00,VVTS 011930Z 12003KT 9999 FEW017 SCT040 24/21 Q1011 NOSIG
2012-01-01 20:00:00,VVTS 012000Z 11004KT 9999 FEW017 SCT040 24/21 Q1011 NOSIG
2012-01-01 20:30:00,VVTS 012030Z 13005KT 080V160 9999 FEW017 SCT040 24/21 Q1011 NOSIG
2012-01-01 21:00:00,VVTS 012100Z 11004KT 9999 FEW017 SCT040 24/21 Q1011 NOSIG
2012-01-01 21:30:00,VVTS 012130Z 13003KT 9999 FEW017 SCT040 24/22 Q1011 NOSIG
2012-01-01 22:00:00,VVTS 012200Z 13004KT 9999 FEW017 SCT040 24/21 Q1011 NOSIG
2012-01-01 22:30:00,VVTS 012230Z 10004KT 9999 FEW017 SCT040 24/21 Q1012 NOSIG
2012-01-01 23:00:00,VVTS 012300Z 10002KT 9999 FEW017 SCT040 23/21 Q1012 NOSIG
2012-01-01 23:30:00,VVTS 012330Z VRB02KT 9999 FEW017 BKN040 24/21 Q1012 NOSIG
2012-01-02 00:00:00,VVTS 020000Z 08004KT 9999 FEW017 SCT040 24/22 Q1013 NOSIG
2012-01-02 00:30:00,VVTS 020030Z VRB03KT 9999 SCT017 SCT040 24/22 Q1013 NOSIG
2012-01-02 01:00:00,VVTS 020100Z 07004KT 9999 SCT017 SCT040 24/22 Q1014 NOSIG
2012-01-02 01:30:00,VVTS 020130Z 05005KT 020V090 9999 SCT017 SCT040 25/22 Q1014 NOSIG
2012-01-02 02:00:00,VVTS 020200Z 06005KT 9999 FEW017 BKN040 27/22 Q1014 NOSIG
2012-01-02 02:30:00,VVTS 020230Z 06005KT 020V100 9999 FEW017 SCT040 28/22 Q1013 NOSIG
2012-01-02 03:00:00,VVTS 020300Z 05004KT 340V110 9999 FEW017 BKN040 28/22 Q1013 NOSIG
2012-01-02 03:30:00,VVTS 020330Z VRB03KT 9999 FEW017 BKN040 28/22 Q1013 NOSIG
2012-01-02 04:00:00,VVTS 020400Z VRB03KT 7000 FEW017 BKN040 29/22 Q1013 NOSIG
2012-01-02 04:30:00,VVTS 020430Z VRB03KT 9999 SCT017 29/22 Q1012 NOSIG
2012-01-02 05:00:00,VVTS 020500Z VRB03KT 9999 SCT017 29/22 Q1012 NOSIG
2012-01-02 05:30:00,VVTS 020530Z VRB02KT 9999 SCT017 31/22 Q1011 NOSIG
2012-01-02 06:00:00,VVTS 020600Z 31005KT 250V010 9999 SCT017 31/22 Q1010 NOSIG
2012-01-02 06:30:00,VVTS 020630Z VRB02KT 9999 SCT017 30/22 Q1010 NOSIG
2012-01-02 07:00:00,VVTS 020700Z VRB02KT 9999 SCT017 30/22 Q1009 NOSIG
2012-01-02 07:30:00,VVTS 020730Z 17004KT 140V210 9999 SCT017 31/22 Q1009 NOSIG
2012-01-02 08:00:00,VVTS 020800Z 22004KT 180V270 9999 SCT017 31/22 Q1009 NOSIG
2012-01-02 08:30:00,VVTS 020830Z 22004KT 060V030 9999 SCT017 31/22 Q1008 NOSIG
2012-01-02 09:00:00,VVTS 020900Z 22004KT 9999 SCT017 30/21 Q1009 NOSIG
2012-01-02 09:30:00,VVTS 020930Z 17009KT 9999 SCT017 29/22 Q1009 NOSIG
2012-01-02 10:00:00,VVTS 021000Z 17010KT 9999 SCT017 28/22 Q1009 NOSIG
2012-01-02 10:30:00,VVTS 021030Z 16009KT 9999 SCT017 27/22 Q1010 NOSIG
2012-01-02 11:00:00,VVTS 021100Z 15007KT 130V200 9999 FEW015TCU SCT017 BKN040 27/21 Q1010 NOSIG
2012-01-02 11:30:00,VVTS 021130Z 15009KT 9999 FEW015TCU SCT017 BKN040 26/21 Q1011 NOSIG
2012-01-02 12:00:00,VVTS 021200Z 13007KT 9999 FEW015TCU SCT017 26/21 Q1011 NOSIG
2012-01-02 12:30:00,VVTS 021230Z 14007KT 090V200 9999 FEW017 SCT040 26/21 Q1011 NOSIG
2012-01-02 13:00:00,VVTS 021300Z 12008KT 9999 FEW017 SCT040 26/21 Q1012 NOSIG
2012-01-02 13:30:00,VVTS 021330Z 14007KT 9999 FEW017 SCT040 25/21 Q1012 NOSIG
2012-01-02 14:00:00,VVTS 021400Z 13006KT 100V180 9999 FEW017 SCT040 24/21 Q1012 NOSIG
2012-01-02 14:30:00,VVTS 021430Z 12005KT 090V160 9999 FEW017 SCT040 24/21 Q1012 NOSIG
2012-01-02 15:00:00,VVTS 021500Z 13007KT 9999 FEW017 SCT040 24/21 Q1012 NOSIG
2012-01-02 15:30:00,VVTS 021530Z 11008KT 9999 FEW017 SCT040 24/21 Q1012 NOSIG
2012-01-02 16:00:00,VVTS 021600Z 11004KT 9999 FEW017 SCT040 24/21 Q1012 NOSIG
2012-01-02 16:30:00,VVTS 021630Z 11004KT 9999 FEW017 SCT040 23/21 Q1012 NOSIG
2012-01-02 17:00:00,VVTS 021700Z VRB03KT 9999 FEW017 SCT040 24/21 Q1012 NOSIG
2012-01-02 17:30:00,VVTS 021730Z 10001KT 9999 FEW017 SCT040 24/22 Q1011 NOSIG
2012-01-02 18:00:00,VVTS 021800Z 00000KT 9999 FEW017 BKN040 23/22 Q1011 NOSIG
2012-01-02 18:30:00,VVTS 021830Z VRB01KT 9999 FEW017 BKN040 23/22 Q1011 NOSIG
2012-01-02 19:00:00,VVTS 021900Z VRB01KT 9999 FEW017 BKN040 23/22 Q1010 NOSIG
2012-01-02 19:30:00,VVTS 021930Z 07001KT 9999 FEW017 BKN040 23/22 Q1010 NOSIG
2012-01-02 20:00:00,VVTS 022000Z 07001KT 9999 FEW017 BKN040 23/22 Q1010 NOSIG
2012-01-02 20:30:00,VVTS 022030Z 00000KT 9999 FEW017 BKN040 23/22 Q1010 NOSIG
2012-01-02 21:00:00,VVTS 022100Z 07003KT 9999 FEW017 BKN040 23/22 Q1011 NOSIG
2012-01-02 21:30:00,VVTS 022130Z 08004KT 9999 FEW017 BKN040 23/21 Q1011 NOSIG
2012-01-02 22:00:00,VVTS 022200Z NIL
2012-01-02 22:30:00,VVTS 022230Z 06003KT 9999 FEW017 SCT040 22/21 Q1011 NOSIG
2012-01-02 23:00:00,VVTS 022300Z 07004KT 9999 FEW017 SCT040 22/22 Q1011 NOSIG
2012-01-02 23:30:00,VVTS 022330Z 08004KT 9999 FEW017 SCT040 22/22 Q1012 NOSIG
2012-01-03 00:00:00,VVTS 030000Z NIL
2012-01-03 00:30:00,VVTS 030030Z 07002KT 9000 FEW017 SCT040 23/22 Q1012 NOSIG
2012-01-03 01:00:00,VVTS 030100Z NIL
2012-01-03 01:30:00,VVTS 030130Z VRB02KT 8000 FEW017 BKN040 25/22 Q1013 NOSIG
2012-01-03 02:00:00,VVTS 030200Z VRB03KT 9999 FEW017 BKN040 26/21 Q1013 NOSIG
2012-01-03 02:30:00,VVTS 030230Z VRB03KT 9999 FEW017 SCT040 27/21 Q1013 NOSIG
2012-01-03 03:00:00,VVTS 030300Z VRB03KT 9999 FEW017 SCT040 29/22 Q1013 NOSIG
2012-01-03 03:30:00,VVTS 030330Z VRB02KT 9999 FEW017 29/21 Q1012 NOSIG
2012-01-03 04:00:00,VVTS 030400Z VRB02KT 9999 SCT017 30/21 Q1012 NOSIG
2012-01-03 04:30:00,VVTS 030430Z VRB02KT 9999 SCT017 29/21 Q1011 NOSIG
2012-01-03 05:00:00,VVTS 030500Z VRB01KT 9999 SCT017 31/21 Q1011 NOSIG
2012-01-03 05:30:00,VVTS 030530Z VRB02KT 9999 SCT017 32/21 Q1010 NOSIG
2012-01-03 06:00:00,VVTS 030600Z 25004KT 210V310 9000 BKN017 31/21 Q1010 NOSIG
2012-01-03 06:30:00,VVTS 030630Z 23006KT 190V270 9999 BKN017 32/22 Q1009 NOSIG
2012-01-03 07:00:00,VVTS 030700Z 19007KT 9999 BKN017 31/21 Q1009 NOSIG
2012-01-03 07:30:00,VVTS 030730Z 18006KT 9999 BKN017 29/21 Q1009 NOSIG
2012-01-03 08:00:00,VVTS 030800Z 17008KT 9999 BKN017 29/21 Q1009 NOSIG
2012-01-03 08:30:00,VVTS 030830Z 18008KT 140V220 9999 BKN017 29/21 Q1009 NOSIG
2012-01-03 09:00:00,VVTS 030900Z 20009KT 9999 BKN017 29/22 Q1009 NOSIG
2012-01-03 09:30:00,VVTS 030930Z 18007KT 9999 BKN017 28/21 Q1009 NOSIG
2012-01-03 10:00:00,VVTS 031000Z 17008KT 150V210 9999 FEW017 28/21 Q1010 NOSIG
2012-01-03 10:30:00,VVTS 031030Z 17009KT 9999 FEW017 27/21 Q1010 NOSIG
